ticker,event_date,last_observed_session,event_type,entry_level,episode_start,weekly_rsi,adjusted_close
AMZN,2015-10-30,2015-10-30,EXTREME_ENTRY,75,2015-10-30,77.13848138058296,31.29500008
AMZN,2015-11-06,2015-11-06,EXTREME_ESCALATION,80,2015-10-30,80.04117903007108,32.96849823
AMZN,2015-11-06,2015-11-06,EXTREME_PERSISTENCE,80,2015-10-30,80.04117903007108,32.96849823
AMZN,2015-12-11,2015-12-11,EXTREME_DECELERATION,80,2015-10-30,67.5403028362793,32.00749969
AMZN,2015-12-11,2015-12-11,COOLING_EXIT,80,2015-10-30,67.5403028362793,32.00749969
AMZN,2016-09-30,2016-09-30,EXTREME_ENTRY,75,2016-09-30,75.64127809248339,41.8655014
AMZN,2016-10-07,2016-10-07,EXTREME_PERSISTENCE,75,2016-09-30,75.8770752372553,41.9715004
AMZN,2016-10-21,2016-10-21,EXTREME_DECELERATION,75,2016-09-30,68.85311992878351,40.94950104
AMZN,2016-10-21,2016-10-21,COOLING_EXIT,75,2016-09-30,68.85311992878351,40.94950104
AMZN,2017-05-12,2017-05-12,EXTREME_ENTRY,75,2017-05-12,76.59315499447553,48.06750107
AMZN,2017-05-19,2017-05-19,EXTREME_PERSISTENCE,75,2017-05-12,76.0544591459849,47.99200058
AMZN,2017-06-02,2017-06-02,EXTREME_ESCALATION,80,2017-05-12,80.68013021117274,50.33649826
AMZN,2017-06-30,2017-06-30,COOLING_EXIT,80,2017-05-12,63.71973773171143,48.40000153
AMZN,2017-11-24,2017-11-24,EXTREME_ENTRY,75,2017-11-24,76.81175597605917,59.29999924
AMZN,2017-12-08,2017-12-08,EXTREME_DECELERATION,75,2017-11-24,71.52788096800538,58.09999847
AMZN,2018-01-05,2018-01-05,EXTREME_PERSISTENCE,75,2017-11-24,76.00429463261938,61.45700073
AMZN,2018-01-12,2018-01-12,EXTREME_ESCALATION,80,2017-11-24,80.8364090957969,65.26000214
AMZN,2018-02-09,2018-02-09,COOLING_EXIT,80,2017-11-24,69.35864786793678,66.98000336
AMZN,2018-02-16,2018-02-16,EXTREME_ENTRY,75,2018-02-16,75.20514237314029,72.43450165
AMZN,2018-02-23,2018-02-23,EXTREME_PERSISTENCE,75,2018-02-16,77.39030579327932,75.0
AMZN,2018-03-09,2018-03-09,EXTREME_ESCALATION,80,2018-02-16,80.460265486173,78.94450378
AMZN,2018-03-23,2018-03-23,EXTREME_DECELERATION,80,2018-02-16,69.04412317646778,74.77799988
AMZN,2018-03-23,2018-03-23,COOLING_EXIT,80,2018-02-16,69.04412317646778,74.77799988
AMZN,2018-07-13,2018-07-13,EXTREME_ENTRY,75,2018-07-13,78.19161548373935,90.65149689
AMZN,2018-07-20,2018-07-20,EXTREME_PERSISTENCE,75,2018-07-13,78.22123882833245,90.68499756
AMZN,2018-08-10,2018-08-10,EXTREME_ESCALATION,80,2018-07-13,81.56680421727826,94.31500244
AMZN,2018-09-21,2018-09-21,COOLING_EXIT,80,2018-07-13,68.75207369166475,95.75050354
AMZN,2020-02-14,2020-02-14,EXTREME_ENTRY,75,2020-02-14,75.14710542669293,106.7434998
AMZN,2020-02-28,2020-02-28,EXTREME_DECELERATION,75,2020-02-14,50.17546005892064,94.1875
AMZN,2020-02-28,2020-02-28,COOLING_EXIT,75,2020-02-14,50.17546005892064,94.1875
AMZN,2020-06-19,2020-06-19,EXTREME_ENTRY,75,2020-06-19,76.65902434829684,133.7505035
AMZN,2020-06-26,2020-06-26,EXTREME_PERSISTENCE,75,2020-06-19,77.10815394147829,134.6434937
AMZN,2020-07-03,2020-07-02,EXTREME_ESCALATION,80,2020-06-19,81.37470715942621,144.5149994
AMZN,2020-09-11,2020-09-11,EXTREME_DECELERATION,80,2020-06-19,63.724010149335484,155.8110046
AMZN,2020-09-11,2020-09-11,COOLING_EXIT,80,2020-06-19,63.724010149335484,155.8110046
AMZN,2024-02-02,2024-02-02,EXTREME_ENTRY,75,2024-02-02,76.24060025833803,171.8099976
AMZN,2024-02-09,2024-02-09,EXTREME_PERSISTENCE,75,2024-02-02,77.34245380539075,174.4499969
AMZN,2024-03-15,2024-03-15,EXTREME_DECELERATION,75,2024-02-02,69.90689658068757,174.4199982
AMZN,2024-03-15,2024-03-15,COOLING_EXIT,75,2024-02-02,69.90689658068757,174.4199982
AMZN,2024-04-05,2024-04-05,EXTREME_ENTRY,75,2024-04-05,75.54922186073932,185.0700073
AMZN,2024-04-12,2024-04-12,EXTREME_PERSISTENCE,75,2024-04-05,76.06516221410301,186.1300049
AMZN,2024-04-19,2024-04-19,COOLING_EXIT,75,2024-04-05,61.021117645717204,174.6300049
APD,2013-07-26,2013-07-26,EXTREME_ENTRY,75,2013-07-26,76.53086859380534,70.15570068
APD,2013-08-02,2013-08-02,EXTREME_PERSISTENCE,75,2013-07-26,78.93715542403893,72.06256104
APD,2013-08-16,2013-08-16,EXTREME_DECELERATION,75,2013-07-26,62.95454957922091,67.97935486
APD,2013-08-16,2013-08-16,COOLING_EXIT,75,2013-07-26,62.95454957922091,67.97935486
APD,2014-07-25,2014-07-25,EXTREME_ENTRY,75,2014-07-25,75.01796544143372,93.89305115
APD,2014-08-01,2014-08-01,COOLING_EXIT,75,2014-07-25,68.81977123967144,91.99266052
APD,2017-10-27,2017-10-27,EXTREME_ENTRY,75,2017-10-27,78.66278516105814,130.0377655
APD,2017-11-17,2017-11-17,EXTREME_PERSISTENCE,75,2017-10-27,76.16252127883574,130.6035614
APD,2017-12-15,2017-12-15,EXTREME_DECELERATION,75,2017-10-27,71.69364176934327,129.6659241
APD,2018-01-05,2018-01-05,EXTREME_ESCALATION,80,2017-10-27,81.55096875341049,136.9468079
APD,2018-02-02,2018-02-02,COOLING_EXIT,80,2017-10-27,59.21758088778646,132.3860016
APD,2019-03-29,2019-03-29,EXTREME_ENTRY,75,2019-03-29,75.82786217067815,160.5502319
APD,2019-04-05,2019-04-05,EXTREME_PERSISTENCE,75,2019-03-29,76.99659370227647,162.4250641
APD,2019-04-26,2019-04-26,EXTREME_ESCALATION,80,2019-03-29,81.49034556452811,170.3113861
APD,2019-05-31,2019-05-31,EXTREME_DECELERATION,80,2019-03-29,71.64109292937302,171.1689148
APD,2019-08-02,2019-08-02,COOLING_EXIT,80,2019-03-29,65.869096937615,188.3309021
AVGO,2013-10-18,2013-10-18,EXTREME_ENTRY,75,2013-10-18,77.90576388726227,3.396752596
AVGO,2013-10-25,2013-10-25,EXTREME_PERSISTENCE,75,2013-10-18,75.50032379758723,3.365040302
AVGO,2013-11-01,2013-11-01,EXTREME_DECELERATION,75,2013-10-18,70.53699885624778,3.297932386
AVGO,2013-11-08,2013-11-08,COOLING_EXIT,75,2013-10-18,68.56332675620774,3.270645857
AVGO,2013-12-20,2013-12-20,EXTREME_ENTRY,75,2013-12-20,75.9126541565068,3.826856136
AVGO,2013-12-27,2013-12-27,EXTREME_PERSISTENCE,75,2013-12-20,77.29015446902699,3.910580873
AVGO,2014-01-17,2014-01-17,EXTREME_ESCALATION,80,2013-12-20,81.22747574848663,4.159529686
AVGO,2014-04-11,2014-04-11,EXTREME_DECELERATION,80,2013-12-20,62.23975249959194,4.355154037
AVGO,2014-04-11,2014-04-11,COOLING_EXIT,80,2013-12-20,62.23975249959194,4.355154037
AVGO,2014-05-09,2014-05-09,EXTREME_ENTRY,75,2014-05-09,75.39925016489458,5.015905857
AVGO,2014-05-16,2014-05-16,EXTREME_PERSISTENCE,75,2014-05-09,76.56512415218953,5.095522404
AVGO,2014-07-04,2014-07-03,EXTREME_ESCALATION,80,2014-05-09,81.36796752786964,5.617044449
AVGO,2014-07-25,2014-07-25,COOLING_EXIT,80,2014-05-09,60.664514454321456,5.224045277
AVGO,2014-08-29,2014-08-29,EXTREME_ENTRY,75,2014-08-29,76.18016419268247,6.133322239
AVGO,2014-09-05,2014-09-05,EXTREME_ESCALATION,80,2014-08-29,80.428021216864,6.56592083
AVGO,2014-09-05,2014-09-05,EXTREME_PERSISTENCE,80,2014-08-29,80.428021216864,6.56592083
AVGO,2014-10-03,2014-10-03,EXTREME_DECELERATION,80,2014-08-29,66.8856558347689,6.259211063
AVGO,2014-10-03,2014-10-03,COOLING_EXIT,80,2014-08-29,66.8856558347689,6.259211063
AVGO,2015-02-27,2015-02-27,EXTREME_ENTRY,75,2015-02-27,79.74263554414271,9.60445118
AVGO,2015-03-06,2015-03-06,EXTREME_PERSISTENCE,75,2015-02-27,79.84666991734959,9.624767303
AVGO,2015-04-03,2015-04-02,EXTREME_DECELERATION,75,2015-02-27,68.10466089649199,9.436553955
AVGO,2015-04-03,2015-04-02,COOLING_EXIT,75,2015-02-27,68.10466089649199,9.436553955
AVGO,2015-05-29,2015-05-29,EXTREME_ENTRY,75,2015-05-29,76.82578518183702,11.17637348
AVGO,2015-06-12,2015-06-12,EXTREME_DECELERATION,75,2015-05-29,67.83517560389623,10.60272598
AVGO,2015-06-12,2015-06-12,COOLING_EXIT,75,2015-05-29,67.83517560389623,10.60272598
AVGO,2017-03-03,2017-03-03,EXTREME_ENTRY,75,2017-03-03,75.6138514162746,16.88243675
AVGO,2017-03-10,2017-03-10,EXTREME_PERSISTENCE,75,2017-03-03,78.27734802615106,17.50338936
