ticker,universe_role,signal_date,HERD_STATE,ticker_year_ordinal,sparse_eligible,sale_date,outcome_end,sale_adjusted_open,base_absolute_available,base_absolute_share_delta_rate,base_absolute_time_to_reentry_sessions,base_constrained_available,base_constrained_share_delta_rate,base_constrained_time_to_reentry_sessions,base_days_at_or_above_minimum_delta,stress_absolute_available,stress_absolute_share_delta_rate,stress_absolute_time_to_reentry_sessions,stress_constrained_available,stress_constrained_share_delta_rate,stress_constrained_time_to_reentry_sessions,stress_days_at_or_above_minimum_delta
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-19,76.28968253968253,1,True,2018-01-22,2018-07-23,38.11789119441686,True,0.07736821129264593,89,False,0.0,,21,True,0.0730673385800773,89,False,0.0,,20
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2018-02-16,83.94510582010582,2,True,2018-02-20,2018-08-20,39.81309577187745,True,0.1252816573455411,69,False,0.0,,62,True,0.12078951331966103,69,False,0.0,,61
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2018-04-27,80.92757936507935,3,False,2018-04-30,2018-10-26,44.250188734875216,True,0.3169813635484193,126,True,0.29364932919604714,123.0,126,True,0.31172395094790173,126,True,0.2884850584840901,123.0,126
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2020-10-09,80.55555555555554,1,True,2020-10-12,2021-04-14,16.602121524814653,True,0.00018000094015380164,3,False,0.0,,0,False,0.0,3,False,0.0,,0
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2023-01-27,75.49603174603175,1,True,2023-01-30,2023-08-01,40.08167543069725,True,0.14729422175453588,69,True,0.14729422175453588,69.0,47,True,0.14271420318715022,69,True,0.14271420318715022,69.0,42
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2024-02-16,77.42228835978835,1,True,2024-02-20,2024-08-20,43.36609045030416,True,0.251784939940888,115,True,0.251784939940888,115.0,90,True,0.24678779260187667,115,True,0.24678779260187667,115.0,88
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2024-03-22,77.02546296296296,2,True,2024-03-25,2024-09-24,44.945598007930464,True,0.2973782538095944,91,True,0.2973782538095944,91.0,118,True,0.2921990971654649,91,True,0.2921990971654649,91.0,118
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2024-09-27,75.5869708994709,3,False,2024-09-30,2025-04-02,46.35827817365972,True,0.08940854035652013,17,True,0.07486029613124767,16.0,15,True,0.08505960244007937,17,True,0.07056943505979674,16.0,15
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2024-10-25,80.49768518518519,4,False,2024-10-28,2025-05-01,49.48256789765077,True,0.07343713726660939,5,True,0.06531534933225958,4.0,5,True,0.06915195747019687,5,True,0.06106259185510465,4.0,5
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2024-11-08,85.63988095238095,5,False,2024-11-11,2025-05-15,51.098250369173236,True,0.048532309483900304,1,False,0.0,,1,True,0.04434655019488698,1,False,0.0,,1
