ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf
C,C-V61-008,2025-07-14,2025-07-14,HEALTHY_RUSH,-0.0023861773800923913,0.013089906756797665,-0.6460919540825033,-0.05975376805915339,CONTINUATION,0.028800172145204472,0.4268678250706892,0.3620627347121981,True,True,2,121,2026-01-12,XLF
CAH,CAH-V61-001,2020-02-20,2020-02-20,HEALTHY_RUSH,-0.11224845271929351,-0.026851038659631676,0.1671578155534606,0.06591233600667565,STRUCTURAL_BREAK,-0.3214166661693222,-0.008526191559215968,-0.128595135030256,True,True,22,75,2020-08-19,XLV
CAH,CAH-V61-002,2021-04-07,2021-04-07,HEALTHY_RUSH,-0.050659523702657916,0.015707636965193172,-0.5918902682608301,-0.00905069819295884,STRUCTURAL_BREAK,-0.1749429969585823,0.02174632000178245,-0.1749429969585823,False,False,126,19,2021-10-05,XLV
CAH,CAH-V61-003,2022-04-28,2022-04-28,HEALTHY_RUSH,-0.002119155621342461,0.12195877574450342,0.2470153058763401,0.43575277376696225,LARGE_PULLBACK,-0.15613518443763097,0.28055818844702185,0.28055818844702185,True,True,34,126,2022-10-27,XLV
CAH,CAH-V61-004,2022-08-22,2022-08-22,HEALTHY_RUSH,-0.038520493999284255,0.10360105116005536,-0.21009168743774176,-0.0698118209915285,CONTINUATION,-0.031512410959153025,0.20124971431070438,0.15731012955938217,True,True,24,54,2023-02-22,XLV
CAH,CAH-V61-005,2023-04-26,2023-04-26,HEALTHY_RUSH,-0.08672301258495141,-0.04127862135682425,-0.7738652584476619,-0.06983593070697738,CONTINUATION,0.005473214561382056,0.18344943236726485,0.1764814877991887,True,True,6,47,2023-10-25,XLV
CAH,CAH-V61-006,2023-10-25,2023-10-25,HEALTHY_RUSH,-0.06873139219972302,-0.24094380918970126,-0.13145763614351058,0.06141979499631725,CONTINUATION,-0.027049961226042085,0.2423881178411229,0.11399639229148573,True,True,4,94,2024-04-26,XLV
CAH,CAH-V61-007,2024-09-13,2024-09-13,HEALTHY_RUSH,0.013329094515564854,0.008791903210714547,0.29558472867045416,0.009837585061229698,CONTINUATION,-0.04227063095791028,0.17197241876407166,0.17197241876407166,True,True,33,126,2025-03-18,XLV
CAH,CAH-V61-008,2024-11-12,2024-11-12,HEALTHY_RUSH,-0.021694185620485307,0.3179874370967961,0.03852899409084119,-0.05803761178074651,TEMPORARY_PULLBACK,-0.06226225129048213,0.25887636132074876,0.25887636132074876,True,True,24,126,2025-05-16,XLV
CAH,CAH-V61-009,2025-11-14,2025-11-14,HEALTHY_RUSH,-0.07866133648097873,0.1757914207006861,-0.45890729855522694,0.04154640275609418,LARGE_PULLBACK,-0.10698519059630462,0.12213600315504891,-0.019543175942141167,False,True,120,71,2026-05-19,XLV
CASY,CASY-V61-001,2016-07-06,2016-07-06,NORMAL_RUSH,0.0015138887723169514,0.2169256446167115,-0.030545710707126833,0.17896375354411387,STRUCTURAL_BREAK,-0.16016899960411735,0.02187846707906238,-0.10303302334047271,False,False,85,14,2017-01-04,XLP
CASY,CASY-V61-002,2019-07-17,2019-07-17,HEALTHY_RUSH,0.011444286428343275,0.23135615600570814,-0.1558246216690377,-0.03792996474700422,CONTINUATION,-0.037577599821335794,0.10521215232663161,0.04620638546303257,False,True,105,96,2020-01-15,XLP
CASY,CASY-V61-003,2021-02-18,2021-02-18,HEALTHY_RUSH,-0.027893695376020045,0.01833370747409291,-0.25795524920758184,-0.05177923182954483,UNRESOLVED,-0.07379742675294243,0.08766804458777,-0.04172207283816165,False,False,107,61,2021-08-18,XLP
CASY,CASY-V61-004,2022-11-30,2022-11-30,HEALTHY_RUSH,0.0222330021868562,0.3422154308354759,-0.06067408863421753,-0.07123970618393549,LARGE_PULLBACK,-0.1521690702867622,0.023084591637432927,-0.05434600536066492,False,True,73,6,2023-06-02,XLP
CASY,CASY-V61-005,2023-10-11,2023-10-11,HEALTHY_RUSH,-0.012561213178537534,-0.01238433753970769,-0.1774719327065158,0.06796111299771741,CONTINUATION,-0.03644845378868422,0.17838215037812644,0.14399511063933756,True,True,7,113,2024-04-12,XLP
CASY,CASY-V61-006,2024-01-11,2024-01-11,HEALTHY_RUSH,-0.026291441916391545,-0.10916441796990362,0.014982040319238424,-0.006472554401030117,TEMPORARY_PULLBACK,-0.053406380056629454,0.3373558868545248,0.3265977530122488,True,True,13,115,2024-07-15,XLP
