ticker,episode_id,signal_date,sector_etf,fold_id,path_label,damage_triggered,damage_execution_date,scheduled_execution_date,outcome_end,uplift_vs_buy_hold_base,uplift_vs_buy_hold_stress,triggered_trough_improvement_base,triggered_trough_improvement_stress,research_use,direction_label,operational_action_ratio
AZO,AZO-V61-003,2021-04-14,XLY,F02,RESUMED_UPTREND,True,2021-06-01,2021-05-14,2021-10-12,-0.00911861658544,-0.0091917515256,0.00131497958208,0.00124184464192,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
EBAY,EBAY-V61-007,2021-04-14,XLY,F02,RESUMED_UPTREND,True,2021-04-30,2021-05-14,2021-10-12,-0.0154677326867,-0.0155342998072,-0.000114346522668,-0.000180913643159,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
IBM,IBM-V61-007,2021-04-14,XLK,F02,TEMPORARY_PULLBACK,True,2021-07-06,2021-05-14,2021-10-12,-0.000879491289304,-0.000959537739642,0.00330310592043,0.00322305947009,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CSX,CSX-V61-005,2021-04-16,XLI,F02,TEMPORARY_PULLBACK,True,2021-05-21,2021-05-18,2021-10-14,-0.00123610555332,-0.00131104472531,0.00445245775507,0.00437751858307,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
LOW,LOW-V61-004,2021-04-16,XLY,F02,TEMPORARY_PULLBACK,True,2021-05-20,2021-05-18,2021-10-14,-0.00623178428632,-0.00630104922377,0.00203561301122,0.00196634807377,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
PTC,PTC-V61-007,2021-04-19,XLK,F02,TEMPORARY_PULLBACK,True,2021-04-30,2021-05-19,2021-10-15,0.00335135982878,0.00327997034147,0.00562246081561,0.0055510713283,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
UPS,UPS-V61-003,2021-04-20,XLI,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-05-20,2021-10-18,0.000437205894464,0.00035489319124,0.00587245583149,0.00579014312827,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ZBH,ZBH-V61-005,2021-04-20,XLV,F02,TEMPORARY_PULLBACK,True,2021-05-13,2021-05-20,2021-10-18,0.00529616287747,0.00522536574214,0.00666778053385,0.00659698339851,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
PFG,PFG-V61-005,2021-04-21,XLF,F02,RESUMED_UPTREND,True,2021-06-18,2021-05-21,2021-10-19,-0.00734592626385,-0.00741889120576,0.00106649359507,0.00099352865316,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
AFL,AFL-V61-006,2021-04-22,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-05-24,2021-10-20,-0.00399448929878,-0.00406950304253,0.000869018772681,0.000794005028924,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
AJG,AJG-V61-009,2021-04-22,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-17,2021-05-24,2021-10-20,-0.00786963033021,-0.00794798034863,0.0023091209113,0.00223077089288,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
GWW,GWW-V61-006,2021-04-22,XLI,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-05-24,2021-10-20,-0.000622492482915,-0.000700467983346,0.004674311974,0.00459633647357,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
PRU,PRU-V61-002,2021-04-22,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-05-24,2021-10-20,-0.0088027480187,-0.0088799978105,0.00141701397862,0.00133976418682,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
KMI,KMI-V61-003,2021-04-23,XLE,F02,TEMPORARY_PULLBACK,True,2021-06-21,2021-05-25,2021-10-21,1.44788133205e-05,-6.64674433246e-05,0.00569943973763,0.00561849348099,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
