evaluation_id,event_id,accession_number,cik,filing_date,matched_items,primary_document_url,collection_status
STRUCTURAL-EVAL-0001193125-24-226499,SEC8K-0001193125-24-226499,0001193125-24-226499,0000898293,2024-09-26,2.05,https://www.sec.gov/Archives/edgar/data/898293/000119312524226499/d872548d8k.htm,PENDING
STRUCTURAL-EVAL-0001104659-24-104934,SEC8K-0001104659-24-104934,0001104659-24-104934,0000033213,2024-10-01,2.05,https://www.sec.gov/Archives/edgar/data/33213/000110465924104934/tm2425237d1_8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-229588,SEC8K-0001193125-24-229588,0001193125-24-229588,0001140536,2024-10-01,2.06,https://www.sec.gov/Archives/edgar/data/1140536/000119312524229588/d857360d8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-240435,SEC8K-0001193125-24-240435,0001193125-24-240435,0000051434,2024-10-21,2.05,https://www.sec.gov/Archives/edgar/data/51434/000119312524240435/d855285d8k.htm,PENDING
STRUCTURAL-EVAL-0000050863-24-000147,SEC8K-0000050863-24-000147,0000050863-24-000147,0000050863,2024-10-31,2.05,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/intc-20241028.htm,PENDING
STRUCTURAL-EVAL-0000007084-24-000034,SEC8K-0000007084-24-000034,0000007084-24-000034,0000007084,2024-11-05,4.02,https://www.sec.gov/Archives/edgar/data/7084/000000708424000034/adm-20241104.htm,PENDING
STRUCTURAL-EVAL-0000950157-24-001497,SEC8K-0000950157-24-001497,0000950157-24-001497,0001075531,2024-11-08,2.05,https://www.sec.gov/Archives/edgar/data/1075531/000095015724001497/form8-k.htm,PENDING
STRUCTURAL-EVAL-0001140361-24-046713,SEC8K-0001140361-24-046713,0001140361-24-046713,0001116132,2024-11-14,2.04,https://www.sec.gov/Archives/edgar/data/1116132/000114036124046713/ef20038690_8k.htm,PENDING
STRUCTURAL-EVAL-0000827054-24-000225,SEC8K-0000827054-24-000225,0000827054-24-000225,0000827054,2024-12-02,2.05,https://www.sec.gov/Archives/edgar/data/827054/000082705424000225/mchp-20241202.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-270298,SEC8K-0001193125-24-270298,0001193125-24-270298,0001467858,2024-12-04,2.06,https://www.sec.gov/Archives/edgar/data/1467858/000119312524270298/d902397d8k.htm,PENDING
STRUCTURAL-EVAL-0001075531-24-000051,SEC8K-0001075531-24-000051,0001075531-24-000051,0001075531,2024-12-10,2.05,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000051/bkng-20241108.htm,PENDING
STRUCTURAL-EVAL-0001104659-24-128106,SEC8K-0001104659-24-128106,0001104659-24-128106,0000056873,2024-12-13,2.04,https://www.sec.gov/Archives/edgar/data/56873/000110465924128106/tm2430972d1_8k.htm,PENDING
STRUCTURAL-EVAL-0000217346-24-000094,SEC8K-0000217346-24-000094,0000217346-24-000094,0000217346,2024-12-18,2.05|2.06,https://www.sec.gov/Archives/edgar/data/217346/000021734624000094/txt-20241218.htm,PENDING
STRUCTURAL-EVAL-0001001250-24-000263,SEC8K-0001001250-24-000263,0001001250-24-000263,0001001250,2024-12-20,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000100125024000263/el-20240201.htm,PENDING
STRUCTURAL-EVAL-0001551152-25-000006,SEC8K-0001551152-25-000006,0001551152-25-000006,0001551152,2025-01-10,2.06,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000006/abbv-20250109.htm,PENDING
STRUCTURAL-EVAL-0001524472-25-000006,SEC8K-0001524472-25-000006,0001524472-25-000006,0001524472,2025-01-30,2.05,https://www.sec.gov/Archives/edgar/data/1524472/000152447225000006/xyl-20250128.htm,PENDING
