atomicTransactionIdV1,accessionNumber,transactionDateMatch,transactionCodeMatch,transactionSharesMatch,transactionPricePerShareMatch,acquiredDisposedCodeMatch,sharesOwnedFollowingTransactionMatch,directOrIndirectOwnershipMatch,isDerivativeMatch,exactMatch,bulkCandidateFound
3758ad9c55ad857e253a7a3ebdf71bffa8974e2a56f5c8f4be090260e7f73ca0,0001209191-12-047621,True,True,True,True,True,True,True,True,True,True
0148e6b7efcb9dfe82403e94d3868a4c086de0e3ba9c5f105d8c68ddb984c5f8,0001415889-22-003855,True,True,True,True,True,True,True,True,True,True
6ced48637ad11c8229ca54329552f865a4d9694504f20f51b1b246b8ca99bd72,0001209191-23-051904,True,True,True,True,True,True,True,True,True,True
17cdc87571728327db07a42188f787310ec30630ebaf42d0ec3bc2614e3ed1eb,0001062993-24-003682,True,True,True,True,True,True,True,True,True,True
08265740b43dc0b8a84f7c70076ced57a1e6a3970166513fd5e3ec8e8e6dc8e2,0000753308-17-000170,True,True,True,True,True,True,True,True,True,True
a4d7189927c5b643760f62db11e3434270208b870bbe6218294f9610ab8adb55,0001062993-25-002692,True,True,True,True,True,True,True,True,True,True
74aefd99b7394f5b68281b7f2e53218580219590d050f92c5e68dcb4cdde762a,0001240434-12-000004,True,True,True,True,True,True,True,True,True,True
5b57dec891a2bb36f41219fa7d2af5addf69852a8bce4de1603d695f986c406f,0000753308-15-000046,True,True,True,True,True,True,True,True,True,True
0787005712c75d6c24994939e341fbe77af31c7ecf0a82b8c9288b57495cdda4,0000950117-14-000403,True,True,True,True,True,True,True,True,True,True
4ab316766f40ee81d27c5c22a009e7cac7d36a592f36feebf2619d5f64d78670,0000950117-19-000269,True,True,True,True,True,True,True,True,True,True
7b441643aee29ab7d462b359a4969a3ec3c5ef024d4ec87de70fbb66a1efd576,0000930413-17-000594,True,True,True,True,True,True,True,True,True,True
594b02d2af64674ebb08945d330f7b1ec5654b07272e9822379be85d86d71419,0001209191-21-071397,True,True,True,True,True,True,True,True,True,True
d45f1706a8cc2f61591e0d6ab8968495a92d0c3e03ad789fc07ef7f69e94f67a,0001209191-23-010330,True,True,True,True,True,True,True,True,True,True
8943ba99841e1cf358483f4f8df00a39dd1848b0a4afcf71d1e8241d2be66957,0000902015-13-000036,True,True,True,True,True,True,True,True,True,True
c0b3e2efe9c909e7d72a40d632a9bf803bc790dd4fcf421d04ea347f9ec98092,0001062993-22-019017,True,True,True,True,True,True,True,True,True,True
ff53d76ab55aca1583ed75f9bbe43ebf98de60c9b6c4ba35a079e4575a363fdf,0000789019-26-000057,True,True,True,True,True,True,True,True,True,True
5328bb899acf39f06ae27e0a0533255ab98e981a2ca9fd496fa62a350ebebd8d,0001183681-12-000116,True,True,True,True,True,True,True,True,True,True
218943dff375f9552319b963da850f3ab96fc4bbcaffa0d53718c6ecec1cfa1a,0001626431-18-000028,True,True,True,True,True,True,True,True,True,True
f4a17a7cbea1f3423dad80e27697892e6b29e791ab52521d06162e099c7e17ac,0001127602-13-027644,True,True,True,True,True,True,True,True,True,True
e870f10869edcd7e28429818b0a4d918291d78b3d43028ab1f551c250988bf45,0001127602-23-011881,True,True,True,True,True,True,True,True,True,True
61072f129b15765a3c7a22c3210f2948a576c2d0606897087c776c286f856048,0000821189-25-000078,True,True,True,True,True,True,True,True,True,True
42322dc7e77769f498eb08a579605240bbb87921a388b4fa44e5f55ad85b97bc,0001127602-23-003970,True,True,True,True,True,True,True,True,True,True
019d8dcf8c5d1038da10e4159ae981aa6347c37c68c4089372da48ea7c50f0d7,0001127602-20-030979,True,True,True,True,True,True,True,True,True,True
c0f182b48aaecd4468174d2e304c1eb58ef55a050e653ec1b4ec5afbb7b17834,0001209191-20-007275,True,True,True,True,True,True,True,True,True,True
a1aa0da0ad293675254a75d1c7e0a4250484f67f61b5bb3f294f3094bd9273bf,0001209191-19-008204,True,True,True,True,True,True,True,True,True,True
a5023c1405fbe740fc866d5fa963794ce5add2fa99b0d6e88228c2ee16e48329,0001209191-20-007275,True,True,True,True,True,True,True,True,True,True
cb784cf18e19253ad32c853d6b081ccc53e0fd33e292fded504b989e52cf0035,0001246360-20-001829,True,True,True,True,True,True,True,True,True,True
47b5d807e2a075e1b863eebce435404952bafddeec1a23f6b6e0b9b3fcdb49c5,0001209191-23-010175,True,True,True,True,True,True,True,True,True,True
ef7076828ca490246b152ccf8c825b983dc18a796a49c058dc20f80658c1994a,0001698554-24-000010,True,True,True,True,True,True,True,True,True,True
c34adaa967e23197e5ab4827f210046aba9d3bc90cf9518ff7437c229faec917,0000769993-17-000422,True,True,True,True,True,True,True,True,True,True
da705d6198b8d31bef8ca9b3edff9d18df320f813057601cdbe95544834880cb,0001438783-25-000013,True,True,True,True,True,True,True,True,True,True
537cc13cd54c9c13aa73048cb8c9b0349cf151e8b5d19ec2f02e902ee1c66dca,0000769993-14-000028,True,True,True,True,True,True,True,True,True,True
085e72e05426c4d3f9a589da47f2288789cab63247e9dbd4abe015af3d16ec65,0000769993-17-000422,True,True,True,True,True,True,True,True,True,True
dc5fad527e5789db481dbf4a3a6cc5ee05dcb2692e0db9f1660575889658052f,0001209191-24-001559,True,True,True,True,True,True,True,True,True,True
d3aabb22c32b0ec03f965c33bae8afccb84297f67ef3d8284e2e8ec50aa3abff,0001209191-15-021713,True,True,True,True,True,True,True,True,True,True
c87a5e60ac97d3e1da8c3106c4a6f16adfa8ddd80d3e9186bf36ec8a24b03cd6,0000909832-25-000140,True,True,True,True,True,True,True,True,True,True
091e01c537260ddfb4792a32aba7538321328a15242e902f807e3c8fa3561994,0001209191-13-022581,True,True,True,True,True,True,True,True,True,True
c9d9a6112a9bb98e792a056775c48be0718fd69ae775dbbed2adc864474184a6,0001209191-13-049152,True,True,True,True,True,True,True,True,True,True
f5d99e49b544f2f0d82111c3106a386eeeea95b0269e3d25e0fa28c5fc060b3f,0001209191-17-066602,True,True,True,True,True,True,True,True,True,True
f8929e19a4653c0c8999b7b9ccc20bd4d2b238f0b96f8298ff27bc33a182ed76,0001127602-19-027022,True,True,True,True,True,True,True,True,True,True
efade14095e24d061312f248bfff7f38c2232e9d6a2e9596af01de71aa85418f,0001018724-17-000075,True,True,True,True,True,True,True,True,True,True
45ad8b2423f668b65fd5a2c1260c125b8f6e4b4f798631391813920040db6603,0001018724-16-000291,True,True,True,True,True,True,True,True,True,True
c9895f0309e8946eff24ac66752ebcf9d2dbeb39887b14eeaecb6d8e029a68c9,0001018724-17-000116,True,True,True,True,True,True,True,True,True,True
