ticker,episode_id,signal_date,last_observed_session,source_regime,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,selector,sector,era,v61_episode_id,price_episode_id
DUK,DUK-V61-008,2020-02-20,2020-02-20,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.36754416325483663,0.009858775554909327,-0.17608426951049594,False,False,22,1,2020-08-19,V61_RUSH,utilities_real_estate,2020-2022,,
DUK,DUK-V61-009,2021-04-28,2021-04-28,HEALTHY_RUSH,CONTINUATION,0.003280527877338013,0.11451484979422544,0.06778796943546683,False,True,106,76,2021-10-26,V61_RUSH,utilities_real_estate,2020-2022,,
DUK,DUK-V61-010,2021-07-28,2021-07-28,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.07287714987398752,0.029913524022184612,-0.016566815146815683,False,True,43,13,2022-01-26,V61_RUSH,utilities_real_estate,2020-2022,,
DUK,DUK-V61-011,2022-04-05,2022-04-05,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.15813938810539163,0.025902224549612107,-0.14908915546476065,False,False,123,37,2022-10-05,V61_RUSH,utilities_real_estate,2020-2022,,
DUK,DUK-V61-012,2024-07-25,2024-07-25,HEALTHY_RUSH,CONTINUATION,0.0018936032002649927,0.13319156689669298,0.06688031549249507,False,True,102,60,2025-01-27,V61_RUSH,utilities_real_estate,2023-2026,,
DUK,DUK-V61-013,2025-03-05,2025-03-05,HEALTHY_RUSH,CONTINUATION,-0.024038896212303706,0.10279763979936285,0.06763644381604283,True,True,49,107,2025-09-04,V61_RUSH,utilities_real_estate,2023-2026,,
DUK,DUK-V61-014,2025-08-05,2025-08-05,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06463725964086353,0.04955998283986074,0.00272526457856781,False,True,89,55,2026-02-04,V61_RUSH,utilities_real_estate,2023-2026,,
DUK,DUK-V61-015,2025-10-03,2025-10-03,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06920099626201648,0.09896889732094061,0.08546443964985806,True,True,47,111,2026-04-07,V61_RUSH,utilities_real_estate,2023-2026,,
EOG,EOG-V61-001,2016-10-06,2016-10-06,NORMAL_RUSH,TEMPORARY_PULLBACK,-0.06755212874099759,0.11384370786988196,0.005626325065707594,True,True,17,47,2017-04-07,V61_RUSH,energy,2016-2019,,
EOG,EOG-V61-002,2016-12-16,2016-12-16,NORMAL_RUSH,STRUCTURAL_BREAK,-0.16030345131716794,0.015857445948543436,-0.15248916174902427,False,False,123,19,2017-06-20,V61_RUSH,energy,2016-2019,,
EOG,EOG-V61-003,2018-01-05,2018-01-05,HEALTHY_RUSH,LARGE_PULLBACK,-0.12085943407329869,0.1397915799981404,0.12798640178440457,True,True,49,93,2018-07-09,V61_RUSH,energy,2016-2019,,
EOG,EOG-V61-004,2018-05-15,2018-05-15,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.155108791306235,0.10242620928357105,-0.155108791306235,False,False,126,102,2018-11-12,V61_RUSH,energy,2016-2019,,
