signal_date,ticker,guard_state,deterioration_flags,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id
2020-05-31,COP,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION,6,2020-11-30,-0.04089634613561932,-0.306128741111392,F02
2021-05-31,COP,PASS,OPERATING_CASH_FLOW_DIRECTION,6,2021-11-30,0.27539884578002294,-0.05201030547633012,F02
2020-05-31,CAT,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2020-11-30,0.46473196894850677,0.003079891574675697,F02
2021-05-31,CAT,PASS,OPERATING_CASH_FLOW_DIRECTION,6,2021-11-30,-0.18922793958048878,-0.21207091412372958,F02
2020-05-31,MCD,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-05-31,0.28503530977987723,-0.0353156174177186,F02
2020-07-31,LIN,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.2734067844372514,-0.11172115200612842,F02
2020-07-31,KO,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.24608284667097102,-0.01989809507023732,F02
2020-07-31,PEP,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.17425793322253647,-0.04841488600275856,F02
2020-07-31,MA,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.2569108094805943,-0.06337763301040111,F02
2020-07-31,HON,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.5951455757472923,-0.01365709772285506,F02
2020-07-31,HON,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2021-01-31,0.32152294941061665,-0.01365709772285506,F02
2021-07-31,HON,PASS,OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2022-01-31,-0.11808700326031407,-0.13991035614252578,F02
2020-07-31,APD,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.035928232995370735,-0.10835269325140362,F02
2020-07-31,APD,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2021-01-31,-0.0604153250952667,-0.0751886064076911,F02
2020-07-31,GOOGL,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.8109008106405826,-0.05279750996649679,F02
2020-07-31,NKE,VETO,MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,12,2021-07-31,0.7303650846351672,-0.00286846926415929,F02
