policy_id,fold_id,ticker,signal_date,observed_session,action,ratio,business_gate,business_month_end,reason
GIVEBACK_BASELINE,F05,DIS,2021-07-23,2021-07-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,DIS,2021-05-21,2021-05-21,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,EOG,2021-07-16,2021-07-16,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,EOG,2021-07-30,2021-07-30,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,FCX,2021-06-18,2021-06-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,FCX,2021-07-16,2021-07-16,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,JPM,2021-06-18,2021-06-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,JPM,2021-06-18,2021-06-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,LLY,2021-03-19,2021-03-19,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,NKE,2021-04-23,2021-04-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,NKE,2021-06-18,2021-06-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,NVDA,2020-11-20,2020-11-20,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,NVDA,2021-01-15,2021-01-15,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,NVDA,2021-03-12,2021-03-12,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
