queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,source_sha256,source_bytes,extracted_symbols,extraction_status,adjudication_status
IDENTITY-0001104659-20-082123,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-082123,0000100517,0001104659-20-082123,2020-07-08,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/100517/000110465920082123/tm2024375-1_8k.htm,50dc52081c0050742764d2110050acb77270c6d5d66d13c9bdc45fb82a8ef417,46315,UAL,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-083132,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-083132,0001091667,0001104659-20-083132,2020-07-13,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1091667/000110465920083132/tm2023618-7_8k.htm,eeca809b3f75b1459a8cdbc8ae7517c316cb426b5e3deb2da6d67f2787bae3fa,68898,CHTR|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-083610,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-083610,0000823768,0001104659-20-083610,2020-07-15,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/823768/000110465920083610/tm2024786d1_8k.htm,e62f1d9e9403598c007ac753f1950d530959ef7d8de4c34db419054aa90656f1,27644,WM,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-087372,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-087372,0001091667,0001104659-20-087372,2020-07-28,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1091667/000110465920087372/tm2025145d2_8k.htm,eaf8f4bfc173e89c6368565320492312233374fc06d9772e881e599a1d9bd997,64963,CHTR|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001564590-20-033955,P1_TEN_YEAR_WINDOW,SEC8K-0001564590-20-033955,0000075677,0001564590-20-033955,2020-07-28,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/75677/000156459020033955/pkg-8k_20200724.htm,e08f437f5ba5a7a9de7496b40eefce7d6ff4e87b07f4b06453429e32ac4e7125,38107,PKG|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000815097-20-000066,P1_TEN_YEAR_WINDOW,SEC8K-0000815097-20-000066,0000815097,0000815097-20-000066,2020-07-29,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/815097/000081509720000066/ccl-20200729.htm,26d62c3791505de7c1070a0b95a735ff8dde50d2032d1f27f527a6eaff164298,91872,CCL|CCL21|CUK|CUK22|CUK29|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001075531-20-000042,P1_TEN_YEAR_WINDOW,SEC8K-0001075531-20-000042,0001075531,0001075531-20-000042,2020-08-04,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000042/bkng-20200804.htm,2c84c52883be508e97fbb53fe6235df896cb295093e0f386d3700dc1f0e0a9d2,59368,BKNG|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001609711-20-000109,P1_TEN_YEAR_WINDOW,SEC8K-0001609711-20-000109,0001609711,0001609711-20-000109,2020-08-06,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1609711/000160971120000109/gddy-20200622.htm,262245e7d005502cd594c0c58a24388ffb4f314ca333328f50440a0166bfdfb1,49595,GDDY|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-217658,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-217658,0000858877,0001193125-20-217658,2020-08-12,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/858877/000119312520217658/d50157d8k.htm,d0ad9e4b4de3365088f3538dfbba95d650182bb83829741ad0d1225650c2d7ee,39757,CSCO,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001157523-20-001178,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-20-001178,0001116132,0001157523-20-001178,2020-08-13,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1116132/000115752320001178/a52265820.htm,6c44ccf2e241ef2d6c897699025eb1bf8d8aecdad2cd78c8dc40bc03f42ca653,33916,TD|TPR,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001001250-20-000054,P1_TEN_YEAR_WINDOW,SEC8K-0001001250-20-000054,0001001250,0001001250-20-000054,2020-08-20,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000100125020000054/el-20200818.htm,4a82c23138e8c501368b907c0ddf30caa768f5833510adf92eafd4c750aa4ebc,49950,EL|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001109357-20-000169,P1_TEN_YEAR_WINDOW,SEC8K-0001109357-20-000169,0001109357,0001109357-20-000169,2020-08-21,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000110935720000169/exc-20200820.htm,d2b59a1356b61a5446d9f2a02f8b8442140f87fbb374f9a40c7aee471d53133c,88832,EXC|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001564590-20-041346,P1_TEN_YEAR_WINDOW,SEC8K-0001564590-20-041346,0001002047,0001564590-20-041346,2020-08-26,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1002047/000156459020041346/ntap-8k_20200821.htm,2d9aaeea77de809fa730f41ec8177da1b622fe04a4b61d2c612bb88a6941c22f,42163,NTAP,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001109357-20-000174,P1_TEN_YEAR_WINDOW,SEC8K-0001109357-20-000174,0001109357,0001109357-20-000174,2020-08-27,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000110935720000174/exc-20200827.htm,65e1720db268d4ea617ad93017e3174fbd14c97925cf60c09ec96a2a4a70537c,104855,EXC|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001552781-20-000463,P1_TEN_YEAR_WINDOW,SEC8K-0001552781-20-000463,0000021344,0001552781-20-000463,2020-08-28,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/21344/000155278120000463/e20478_ko-8k.htm,b6c32c4765708de0159ab7ead12ca6ee0dcd4b549b8a0e381a2101d8b86f3703,56121,KO|KO21B|KO21C|KO22|KO22B|KO23B|KO24|KO26|KO26C|KO27|KO31|KO35|KO36|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-101912,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-101912,0000100517,0001104659-20-101912,2020-09-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/100517/000110465920101912/tm2030112-1_8ka.htm,6c7a301e143984dab27ced0f6c88e86013e27e978799c71f53cd31cc4759e2c6,39905,UAL,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001075531-20-000054,P1_TEN_YEAR_WINDOW,SEC8K-0001075531-20-000054,0001075531,0001075531-20-000054,2020-09-10,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000054/bkng-20200804.htm,4fb4103605e8f69a2682ada3ec8860fe8663a979a149c38decd92c121f58cb15,61902,BKNG|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-247156,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-247156,0000814547,0001193125-20-247156,2020-09-16,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/814547/000119312520247156/d939437d8k.htm,13e92cdcacb4b2e7a4e32404317549a26da86fb8c5206bd56bc6edac8691941b,22939,FICO,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000950142-20-002295,P1_TEN_YEAR_WINDOW,SEC8K-0000950142-20-002295,0001037038,0000950142-20-002295,2020-09-22,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1037038/000095014220002295/eh200101603_8k.htm,78b62fef3cebad1e4376f4ee8b7204cce0c509110ed609215a65f2ef67428f9f,31404,RL|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
