ticker,episode_id,signal_date,last_observed_session,sector_etf,damage_date,damage_wait_sessions,damage_triggered,damage_execution_date,damage_execution_price,scheduled_execution_date,scheduled_execution_price,uplift_vs_buy_hold_base,uplift_vs_scheduled_base,triggered_trough_improvement_base,outcome_end,uplift_vs_buy_hold_stress,uplift_vs_scheduled_stress,triggered_trough_improvement_stress,fold_id
EQT,EQT-V61-003,2022-01-11,2022-01-11,XLE,2022-01-25,9.0,True,2022-01-26,19.353741380713814,2022-02-11,20.405508275364983,-0.033500450835435513,-0.0023891330893099916,0.0020164031355419665,2022-07-14,-0.033566494166461514,-0.0023855440060509547,0.0019503598045159665,F03
EQT,EQT-V61-004,2022-03-14,2022-03-14,XLE,,,False,,,2022-04-13,38.18047555881442,0.0,0.015079739840909268,,2022-09-13,0.0,0.015199645421279717,,F03
EQT,EQT-V61-005,2022-08-12,2022-08-12,XLE,2022-09-23,29.0,True,2022-09-26,38.61820481102586,2022-09-14,47.123288855667106,0.010601475096312707,-0.009716944466189537,0.011741957008323811,2023-02-13,0.010535194503745404,-0.00970234715352114,0.011675676415756397,F03
EQT,EQT-V61-006,2023-08-22,2023-08-22,XLE,2023-09-15,17.0,True,2023-09-18,39.85086377749371,2023-09-22,37.52367019883365,0.004315931858298372,0.0027838309271723816,0.00955631543510771,2024-02-22,0.0042443189560692485,0.0027796489077525077,0.009484702532878475,F03
EQT,EQT-V61-007,2023-10-20,2023-10-20,XLE,2023-11-07,12.0,True,2023-11-08,39.12116314790546,2023-11-21,38.58062974139074,0.0027426863807723523,0.0006626271157312846,0.008898726223264486,2024-04-23,0.002670641751198244,0.0006616316819068047,0.0088266815936906,F03
EQT,EQT-V61-008,2024-11-29,2024-11-29,XLE,2025-02-27,59.0,True,2025-02-28,45.65807519106734,2025-01-02,46.18138898284107,-0.010367375443768756,-0.0005851575848216939,0.004244844400629777,2025-06-04,-0.010444071219948947,-0.0005842785298624253,0.004168148624449697,F04
ERIE,ERIE-V61-001,2016-06-01,2016-06-01,XLF,2016-06-15,10.0,True,2016-06-16,75.57493968900353,2016-07-01,79.32609964157805,-0.007512596399068983,-0.0023723116782647935,0.000428599346373737,2016-11-29,-0.0075843968484961,-0.0023687478650273874,0.0003567988969466196,F01
ERIE,ERIE-V61-002,2016-08-30,2016-08-30,XLF,,,False,,,2016-09-30,81.02243897199456,0.0,0.01096051127605735,,2017-03-02,0.0,0.01103454162590256,,F01
ERIE,ERIE-V61-003,2016-11-29,2016-11-29,XLF,,,False,,,2016-12-30,92.30280920735994,0.0,0.0032633491112588064,,2017-06-01,0.0,0.00334262629055182,,F01
ERIE,ERIE-V61-004,2017-06-30,2017-06-30,XLF,2017-08-18,34.0,True,2017-08-21,100.69344419212518,2017-08-02,106.02002912252055,-0.0003614006213555898,-0.0025909003431591193,0.002999958970067662,2017-12-29,-0.0004349783265140683,-0.0025870081543610812,0.0029263812649092946,F01
ERIE,ERIE-V61-005,2018-10-30,2018-10-30,XLF,,,False,,,2018-11-30,117.61636387608213,0.0,0.023818850482322684,,2019-05-03,0.0,0.023897528127042156,,F01
ERIE,ERIE-V61-006,2019-02-04,2019-02-04,XLF,,,False,,,2019-03-07,158.99917281022087,0.0,0.009977222370383343,,2019-08-05,0.0,0.010068170712123736,,F02
ERIE,ERIE-V61-007,2020-08-11,2020-08-11,XLF,,,False,,,2020-09-11,196.79974318917962,0.0,0.009307478576893624,,2021-02-10,0.0,0.009383936941758764,,F02
ERIE,ERIE-V61-008,2021-01-11,2021-01-11,XLF,2021-01-22,8.0,True,2021-01-25,213.414401687634,2021-02-11,231.87135909254903,0.009640848572849747,-0.003970474713070105,0.009640848572849747,2021-07-13,0.009571880317885029,-0.003964510054011883,0.009571880317885029,F02
