hypothesis_id,fold_id,ticker,event_date,control_date,event_target_hit,control_target_hit,pair_difference,trailing_return_gap
WRSI_EXTREME_ENTRY_PULLBACK,F05,NKE,2020-10-09,2020-09-25,True,False,1,0.016627344522081033
WRSI_EXTREME_ENTRY_PULLBACK,F05,NKE,2021-01-08,2020-09-11,True,False,1,0.0687805571525959
WRSI_EXTREME_ENTRY_PULLBACK,F05,NVDA,2021-07-02,2021-06-25,True,False,1,0.10471666125238799
WRSI_EXTREME_ENTRY_PULLBACK,F05,ORCL,2021-04-16,2021-04-09,True,False,1,0.07412807711239533
WRSI_EXTREME_ENTRY_PULLBACK,F05,SHW,2021-05-07,2021-04-30,True,False,1,0.02372214276629303
WRSI_EXTREME_ENTRY_PULLBACK,F05,TMUS,2021-01-01,2020-12-25,True,True,0,0.008551172026987963
WRSI_EXTREME_ENTRY_PULLBACK,F05,TSLA,2020-12-04,2020-11-27,False,False,0,0.12566005955907
WRSI_EXTREME_ENTRY_PULLBACK,F06,AAPL,2021-12-10,2021-11-19,True,False,1,0.12949409321364813
WRSI_EXTREME_ENTRY_PULLBACK,F06,ABBV,2021-12-24,2021-12-17,False,False,0,0.03369976363531002
WRSI_EXTREME_ENTRY_PULLBACK,F06,AVGO,2021-11-05,2021-10-29,False,False,0,0.0705893619839999
WRSI_EXTREME_ENTRY_PULLBACK,F06,COP,2022-03-25,2022-02-11,True,False,1,0.01780012176644319
WRSI_EXTREME_ENTRY_PULLBACK,F06,COST,2021-10-29,2021-10-22,False,False,0,0.0292213982091567
WRSI_EXTREME_ENTRY_PULLBACK,F06,CVX,2022-01-14,2022-01-07,False,False,0,0.10891971558080793
WRSI_EXTREME_ENTRY_PULLBACK,F06,HD,2021-11-19,2021-11-12,True,True,0,0.1443372765754538
WRSI_EXTREME_ENTRY_PULLBACK,F06,LLY,2021-08-06,2022-04-08,True,True,0,0.025364571648891276
WRSI_EXTREME_ENTRY_PULLBACK,F06,MSFT,2021-10-29,2021-09-17,True,False,1,0.013266986111260204
WRSI_EXTREME_ENTRY_PULLBACK,F06,NEM,2022-04-01,2022-03-25,True,True,0,0.08135563306925286
WRSI_EXTREME_ENTRY_PULLBACK,F06,PG,2021-12-17,2021-12-10,True,True,0,0.04035590062314376
WRSI_EXTREME_ENTRY_PULLBACK,F06,PLD,2021-08-13,2021-08-06,False,False,0,0.010244799809084215
WRSI_EXTREME_ENTRY_PULLBACK,F06,SHW,2021-08-13,2021-08-06,True,False,1,0.028657503377043536
WRSI_EXTREME_ENTRY_PULLBACK,F06,SO,2022-04-08,2022-04-01,True,True,0,0.022810660157503992
WRSI_EXTREME_ENTRY_PULLBACK,F06,XOM,2022-01-28,2022-01-21,False,False,0,0.04359333151510558
WRSI_EXTREME_ENTRY_PULLBACK,F07,AAPL,2023-06-23,2023-06-16,True,True,0,0.04109585916326175
WRSI_EXTREME_ENTRY_PULLBACK,F07,LLY,2023-05-05,2022-12-02,False,True,-1,0.04570481640492319
WRSI_EXTREME_ENTRY_PULLBACK,F07,META,2023-05-26,2023-04-28,False,False,0,0.07054784189513441
WRSI_EXTREME_ENTRY_PULLBACK,F07,MRK,2023-01-06,2022-12-09,True,False,1,0.012103977901703367
WRSI_EXTREME_ENTRY_PULLBACK,F07,MSFT,2023-06-02,2023-05-19,True,False,1,0.004538553010464685
WRSI_EXTREME_ENTRY_PULLBACK,F07,ORCL,2023-05-26,2023-05-12,False,False,0,0.00046602372419535243
WRSI_EXTREME_ENTRY_PULLBACK,F08,AAPL,2024-07-12,2024-07-05,True,False,1,0.009283548340056846
WRSI_EXTREME_ENTRY_PULLBACK,F08,ABBV,2024-02-09,2024-02-02,True,False,1,0.0022059467964066215
WRSI_EXTREME_ENTRY_PULLBACK,F08,AMZN,2024-02-02,2023-12-22,False,True,-1,0.044727461077110675
WRSI_EXTREME_ENTRY_PULLBACK,F08,AMZN,2024-04-05,2023-08-11,True,True,0,0.028321425428163405
WRSI_EXTREME_ENTRY_PULLBACK,F08,AVGO,2023-12-15,2023-11-24,True,False,1,0.09800397502614455
WRSI_EXTREME_ENTRY_PULLBACK,F08,AVGO,2024-02-09,2023-11-10,True,False,1,0.028842960965879794
WRSI_EXTREME_ENTRY_PULLBACK,F08,BAC,2024-07-19,2024-05-24,True,False,1,0.0064855482381682705
WRSI_EXTREME_ENTRY_PULLBACK,F08,CAT,2024-03-01,2024-02-16,False,False,0,0.0005377907697963202
WRSI_EXTREME_ENTRY_PULLBACK,F08,COST,2023-12-15,2023-12-08,False,False,0,0.0776652468152006
WRSI_EXTREME_ENTRY_PULLBACK,F08,CRM,2024-03-01,2024-02-16,True,True,0,0.015974649706258948
WRSI_EXTREME_ENTRY_PULLBACK,F08,DIS,2024-02-16,2024-02-09,True,False,1,0.08094967070881176
WRSI_EXTREME_ENTRY_PULLBACK,F08,DUK,2024-08-02,2024-05-17,False,False,0,0.030387463172408813
WRSI_EXTREME_ENTRY_PULLBACK,F08,FCX,2024-05-17,2024-04-26,True,True,0,0.006580681008042433
WRSI_EXTREME_ENTRY_PULLBACK,F08,GE,2024-02-02,2023-12-22,False,False,0,0.013232083650819515
WRSI_EXTREME_ENTRY_PULLBACK,F08,GS,2024-03-29,2024-03-22,True,False,1,0.05092897266130625
WRSI_EXTREME_ENTRY_PULLBACK,F08,JPM,2024-02-16,2023-12-22,False,False,0,0.004735766066882974
WRSI_EXTREME_ENTRY_PULLBACK,F08,KO,2024-08-02,2024-07-26,True,False,1,0.01608543619034819
WRSI_EXTREME_ENTRY_PULLBACK,F08,LIN,2024-02-23,2024-02-16,True,False,1,0.02231767762095438
WRSI_EXTREME_ENTRY_PULLBACK,F08,MA,2024-02-23,2024-02-02,True,False,1,0.001845597256868503
WRSI_EXTREME_ENTRY_PULLBACK,F08,META,2024-01-19,2023-12-29,False,False,0,0.06970313421939256
WRSI_EXTREME_ENTRY_PULLBACK,F08,MRK,2024-01-26,2024-01-12,False,False,0,0.03142456481855049
WRSI_EXTREME_ENTRY_PULLBACK,F08,MSFT,2024-01-26,2023-11-10,False,False,0,0.002905531311532039
WRSI_EXTREME_ENTRY_PULLBACK,F08,NEE,2024-05-24,2024-05-17,True,True,0,0.005959728121884611
WRSI_EXTREME_ENTRY_PULLBACK,F08,NFLX,2024-03-01,2024-02-23,True,False,1,0.005287632219752592
WRSI_EXTREME_ENTRY_PULLBACK,F08,NVDA,2024-01-19,2024-01-12,False,False,0,0.13942553837850125
WRSI_EXTREME_ENTRY_PULLBACK,F08,SHW,2024-03-08,2023-12-22,True,False,1,0.004927426340938679
WRSI_EXTREME_ENTRY_PULLBACK,F08,SO,2024-08-02,2024-05-10,False,False,0,0.14466367831418014
WRSI_EXTREME_ENTRY_PULLBACK,F08,TMUS,2024-01-19,2024-01-05,False,False,0,0.0034130444055304743
WRSI_EXTREME_ENTRY_PULLBACK,F08,TMUS,2024-05-31,2023-12-29,False,False,0,0.0011716420016281148
WRSI_EXTREME_ENTRY_PULLBACK,F08,V,2024-02-16,2024-02-02,False,False,0,0.00980814096821181
WRSI_EXTREME_ENTRY_PULLBACK,F08,WMT,2024-03-15,2024-02-23,False,False,0,0.0029667492488343328
WRSI_EXTREME_ENTRY_PULLBACK,F09,DUK,2024-10-18,2024-08-09,True,False,1,0.0020837542952358845
WRSI_EXTREME_ENTRY_PULLBACK,F09,GS,2024-11-08,2024-08-23,False,True,-1,0.008468396611409856
WRSI_EXTREME_ENTRY_PULLBACK,F09,JPM,2025-01-31,2025-01-24,True,True,0,0.09550864569712858
WRSI_EXTREME_ENTRY_PULLBACK,F09,META,2025-02-14,2025-01-31,True,True,0,0.015133067020587365
WRSI_EXTREME_ENTRY_PULLBACK,F09,MSFT,2025-08-01,2025-07-11,True,False,1,0.06158436565023728
WRSI_EXTREME_ENTRY_PULLBACK,F09,NFLX,2024-11-15,2024-11-08,False,False,0,0.025126151391319018
WRSI_EXTREME_ENTRY_PULLBACK,F09,ORCL,2024-09-13,2025-07-25,False,True,-1,0.04423386964215004
WRSI_EXTREME_ENTRY_PULLBACK,F09,V,2025-02-07,2025-01-31,True,True,0,0.05514146849919821
WRSI_EXTREME_ESCALATION_PULLBACK,F01,AAPL,2017-03-03,2017-02-24,False,False,0,0.01977566448569945
WRSI_EXTREME_ESCALATION_PULLBACK,F01,AMZN,2017-06-02,2017-05-26,True,True,0,0.08378545686046812
WRSI_EXTREME_ESCALATION_PULLBACK,F01,BA,2017-07-28,2017-03-03,False,False,0,0.050487751478659915
WRSI_EXTREME_ESCALATION_PULLBACK,F01,GS,2016-12-02,2016-11-25,False,False,0,0.11470756413906691
WRSI_EXTREME_ESCALATION_PULLBACK,F01,JPM,2016-12-09,2016-12-02,False,False,0,0.0779120218966205
WRSI_EXTREME_ESCALATION_PULLBACK,F01,NVDA,2017-06-23,2017-06-16,True,False,1,0.10900397828750052
WRSI_EXTREME_ESCALATION_PULLBACK,F01,TMUS,2017-01-27,2016-12-30,False,False,0,0.009247530067625798
WRSI_EXTREME_ESCALATION_PULLBACK,F02,ABBV,2018-01-19,2018-01-05,True,True,0,0.004192509674233458
WRSI_EXTREME_ESCALATION_PULLBACK,F02,AMT,2017-08-25,2017-08-18,False,False,0,0.017447202758523073
WRSI_EXTREME_ESCALATION_PULLBACK,F02,APD,2018-01-05,2017-12-29,True,False,1,0.02305378974224248
