ticker,cik,metric,fiscal_period,accounting_basis,metric_subtype,unit,current_accession,accepted_at,fold_id,direction,midpoint_delta_ratio,sector_etf,price_snapshot,execution_session,outcome_session,stock_return_126d,sector_return_126d,sector_residual_return_126d,spy_return_126d,spy_residual_return_126d,forward_max_drawdown_126d
CDNS,0000813672,EPS,FY2021,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-21-000036,2021-10-25T20:06:08+00:00,F03,NON_LOWER,0.0283911671924,XLK,yf-independent-current-sp500-20260721,2021-10-26,2022-04-26,-0.112867422878,-0.122853840357,0.00998641747843,-0.0838602271065,-0.0290071957717,-0.295851806964
CDNS,0000813672,EPS,FY2022,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-22-000036,2022-07-25T20:06:05+00:00,F03,NON_LOWER,0.0274509803922,XLK,yf-independent-current-sp500-20260721,2022-07-26,2023-01-24,0.0694265982477,-0.00918981063283,0.0786164088805,0.0250081449524,0.0444184532953,-0.262468245746
CDNS,0000813672,EPS,FY2022,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-22-000053,2022-10-24T20:05:48+00:00,F03,NON_LOWER,0.0419847328244,XLK,yf-independent-current-sp500-20260721,2022-10-25,2023-04-26,0.286960318421,0.162087542241,0.12487277618,0.0764991657307,0.21046115269,-0.113021811492
CDNS,0000813672,EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-22-000036,2022-07-25T20:06:05+00:00,F03,NON_LOWER,0.0407124681934,XLK,yf-independent-current-sp500-20260721,2022-07-26,2023-01-24,0.0694265982477,-0.00918981063283,0.0786164088805,0.0250081449524,0.0444184532953,-0.262468245746
CDNS,0000813672,EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-22-000053,2022-10-24T20:05:48+00:00,F03,NON_LOWER,0.0317848410758,XLK,yf-independent-current-sp500-20260721,2022-10-25,2023-04-26,0.286960318421,0.162087542241,0.12487277618,0.0764991657307,0.21046115269,-0.113021811492
CDNS,0000813672,EPS,FY2023,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-23-000040,2023-07-24T20:05:55+00:00,F04,NON_LOWER,0.0242424242424,XLK,yf-independent-current-sp500-20260721,2023-07-25,2024-01-23,0.274868428925,0.145344937936,0.12952349099,0.0762755374276,0.198592891498,-0.0890979274374
CDNS,0000813672,EPS,FY2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-23-000040,2023-07-24T20:05:55+00:00,F04,NON_LOWER,0.016,XLK,yf-independent-current-sp500-20260721,2023-07-25,2024-01-23,0.274868428925,0.145344937936,0.12952349099,0.0762755374276,0.198592891498,-0.0890979274374
CDNS,0000813672,EPS,FY2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-23-000067,2023-10-23T20:05:55+00:00,F04,NON_LOWER,0.00393700787402,XLK,yf-independent-current-sp500-20260721,2023-10-24,2024-04-24,0.183092593892,0.206424676782,-0.0233320828899,0.204390833743,-0.0212982398505,-0.13983886557
CDNS,0000813672,EPS,FY2024,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-24-000150,2024-07-22T20:04:10+00:00,F04,LOWER,-0.041564792176,XLK,yf-independent-current-sp500-20260721,2024-07-23,2025-01-22,0.124641456027,0.075767515966,0.0488739400606,0.100637231863,0.0240042241638,-0.136500353645
CDNS,0000813672,EPS,FY2024,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-24-000188,2024-10-28T20:03:44+00:00,F04,LOWER,-0.0484693877551,XLK,yf-independent-current-sp500-20260721,2024-10-29,2025-05-01,0.0901651574293,-0.0732082587662,0.163373416195,-0.0307231097346,0.120888267164,-0.286251330088
CDNS,0000813672,EPS,FY2024,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-24-000150,2024-07-22T20:04:10+00:00,F04,LOWER,-0.0101180438449,XLK,yf-independent-current-sp500-20260721,2024-07-23,2025-01-22,0.124641456027,0.075767515966,0.0488739400606,0.100637231863,0.0240042241638,-0.136500353645
CDNS,0000813672,EPS,FY2024,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-24-000188,2024-10-28T20:03:44+00:00,F04,NON_LOWER,0.00511073253833,XLK,yf-independent-current-sp500-20260721,2024-10-29,2025-05-01,0.0901651574293,-0.0732082587662,0.163373416195,-0.0307231097346,0.120888267164,-0.286251330088
CDNS,0000813672,EPS,FY2025,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-25-000108,2025-07-28T20:03:12+00:00,F04,LOWER,-0.056338028169,XLK,yf-independent-current-sp500-20260721,2025-07-29,2026-01-27,-0.103183112394,0.117118931765,-0.220302044159,0.0957609485991,-0.198944060993,-0.194954092335
CDNS,0000813672,EPS,FY2025,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-25-000144,2025-10-27T20:03:04+00:00,F04,LOWER,-0.047263681592,XLK,yf-independent-current-sp500-20260721,2025-10-28,2026-04-29,-0.0267248675204,0.0620698642028,-0.0887947317232,0.0416006902274,-0.0683255577478,-0.221919546086
CDNS,0000813672,EPS,FY2025,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-25-000108,2025-07-28T20:03:12+00:00,F04,NON_LOWER,0.0176991150442,XLK,yf-independent-current-sp500-20260721,2025-07-29,2026-01-27,-0.103183112394,0.117118931765,-0.220302044159,0.0957609485991,-0.198944060993,-0.194954092335
CDNS,0000813672,EPS,FY2025,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-25-000144,2025-10-27T20:03:04+00:00,F04,NON_LOWER,0.0217391304348,XLK,yf-independent-current-sp500-20260721,2025-10-28,2026-04-29,-0.0267248675204,0.0620698642028,-0.0887947317232,0.0416006902274,-0.0683255577478,-0.221919546086
CDNS,0000813672,MARGIN,FY2022,GAAP,NOT_APPLICABLE,PERCENT,0000813672-22-000036,2022-07-25T20:06:05+00:00,F03,NON_LOWER,0.017094017094,XLK,yf-independent-current-sp500-20260721,2022-07-26,2023-01-24,0.0694265982477,-0.00918981063283,0.0786164088805,0.0250081449524,0.0444184532953,-0.262468245746
CDNS,0000813672,MARGIN,FY2022,GAAP,NOT_APPLICABLE,PERCENT,0000813672-22-000053,2022-10-24T20:05:48+00:00,F03,NON_LOWER,0.0151260504202,XLK,yf-independent-current-sp500-20260721,2022-10-25,2023-04-26,0.286960318421,0.162087542241,0.12487277618,0.0764991657307,0.21046115269,-0.113021811492
CDNS,0000813672,MARGIN,FY2022,NON_GAAP,NOT_APPLICABLE,PERCENT,0000813672-22-000036,2022-07-25T20:06:05+00:00,F03,NON_LOWER,0.0127388535032,XLK,yf-independent-current-sp500-20260721,2022-07-26,2023-01-24,0.0694265982477,-0.00918981063283,0.0786164088805,0.0250081449524,0.0444184532953,-0.262468245746
CDNS,0000813672,MARGIN,FY2022,NON_GAAP,NOT_APPLICABLE,PERCENT,0000813672-22-000053,2022-10-24T20:05:48+00:00,F03,NON_LOWER,0.011320754717,XLK,yf-independent-current-sp500-20260721,2022-10-25,2023-04-26,0.286960318421,0.162087542241,0.12487277618,0.0764991657307,0.21046115269,-0.113021811492
CDNS,0000813672,MARGIN,FY2023,GAAP,NOT_APPLICABLE,PERCENT,0000813672-23-000040,2023-07-24T20:05:55+00:00,F04,NON_LOWER,0.00655737704918,XLK,yf-independent-current-sp500-20260721,2023-07-25,2024-01-23,0.274868428925,0.145344937936,0.12952349099,0.0762755374276,0.198592891498,-0.0890979274374
CDNS,0000813672,MARGIN,FY2023,GAAP,NOT_APPLICABLE,PERCENT,0000813672-23-000067,2023-10-23T20:05:55+00:00,F04,NON_LOWER,0.00162866449511,XLK,yf-independent-current-sp500-20260721,2023-10-24,2024-04-24,0.183092593892,0.206424676782,-0.0233320828899,0.204390833743,-0.0212982398505,-0.13983886557
CDNS,0000813672,MARGIN,FY2023,NON_GAAP,NOT_APPLICABLE,PERCENT,0000813672-23-000040,2023-07-24T20:05:55+00:00,F04,NON_LOWER,0.00481927710843,XLK,yf-independent-current-sp500-20260721,2023-07-25,2024-01-23,0.274868428925,0.145344937936,0.12952349099,0.0762755374276,0.198592891498,-0.0890979274374
CDNS,0000813672,MARGIN,FY2023,NON_GAAP,NOT_APPLICABLE,PERCENT,0000813672-23-000067,2023-10-23T20:05:55+00:00,F04,NON_LOWER,0.00119904076739,XLK,yf-independent-current-sp500-20260721,2023-10-24,2024-04-24,0.183092593892,0.206424676782,-0.0233320828899,0.204390833743,-0.0212982398505,-0.13983886557
CDNS,0000813672,MARGIN,FY2024,GAAP,NOT_APPLICABLE,PERCENT,0000813672-24-000150,2024-07-22T20:04:10+00:00,F04,LOWER,-0.031746031746,XLK,yf-independent-current-sp500-20260721,2024-07-23,2025-01-22,0.124641456027,0.075767515966,0.0488739400606,0.100637231863,0.0240042241638,-0.136500353645
