policy_id,fold_id,ticker,one_way_cost_bps,activated,executed_sell_count,executed_reentry_count,completed_cycle_count,positive_completed_cycle_count,completed_cycle_share_delta,completed_cycle_ticker,open_sale_count,open_sale_cash,unmatched_buy_cost,cagr,excess_cagr,max_drawdown,mdd_improvement,sortino,calmar,upside_capture,downside_capture,average_exposure,turnover,terminal_wealth_delta,terminal_share_delta,final_equity,buy_hold_final_equity,keep_cash_terminal_wealth_delta,keep_cash_final_equity
GIVEBACK_BASELINE,F08,AMT,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.28230551993033437,0.0,-0.21147985148018333,0.0,1.9172122305162882,1.3349050415650956,1.0,1.0,1.0,0.9747423369036532,0.0,0.0,12823.05519930334,12823.05519930334,0.0,12823.05519930334
GIVEBACK_BASELINE,F08,AMT,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.2803851824686241,0.0,-0.21147985148018367,0.0,1.904602614676789,1.3258245667668112,1.0,1.0,1.0,0.9754730283106272,0.0,0.0,12803.851824686255,12803.851824686255,0.0,12803.851824686255
GIVEBACK_BASELINE,F08,AMT,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.2771941925999417,0.0,-0.2114798514801841,0.0,1.8829001737381335,1.3107357067815755,1.0,1.0,1.0,0.9766908473222512,0.0,0.0,12771.941925999412,12771.941925999412,0.0,12771.941925999412
HERD_GIVEBACK_S1,F08,AMT,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.28230551993033437,0.0,-0.21147985148018333,0.0,1.9172122305162882,1.3349050415650956,1.0,1.0,1.0,0.9747423369036532,0.0,0.0,12823.05519930334,12823.05519930334,0.0,12823.05519930334
HERD_GIVEBACK_S1,F08,AMT,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.2803851824686241,0.0,-0.21147985148018367,0.0,1.904602614676789,1.3258245667668112,1.0,1.0,1.0,0.9754730283106272,0.0,0.0,12803.851824686255,12803.851824686255,0.0,12803.851824686255
HERD_GIVEBACK_S1,F08,AMT,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.2771941925999417,0.0,-0.2114798514801841,0.0,1.8829001737381335,1.3107357067815755,1.0,1.0,1.0,0.9766908473222512,0.0,0.0,12771.941925999412,12771.941925999412,0.0,12771.941925999412
GIVEBACK_BASELINE,F08,AMZN,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3157531791154444,0.0,-0.1745254079074563,0.0,1.6428908067757269,1.8092103774533244,1.0,1.0,1.0000000000000002,0.7898668107740647,0.0,0.0,13157.53179115446,13157.53179115446,0.0,13157.53179115446
GIVEBACK_BASELINE,F08,AMZN,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3137827515683844,0.0,-0.17452540790745585,0.0,1.6350398444649057,1.7979201729456573,1.0,1.0,1.0,0.7904589148301173,0.0,0.0,13137.827515683859,13137.827515683859,0.0,13137.827515683859
GIVEBACK_BASELINE,F08,AMZN,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.31050852791498285,0.0,-0.17452540790745574,0.0,1.6219940430405477,1.779159445251856,1.0,1.0,1.0,0.791445754923538,0.0,0.0,13105.08527914982,13105.08527914982,0.0,13105.08527914982
HERD_GIVEBACK_S1,F08,AMZN,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3157531791154444,0.0,-0.1745254079074563,0.0,1.6428908067757269,1.8092103774533244,1.0,1.0,1.0000000000000002,0.7898668107740647,0.0,0.0,13157.53179115446,13157.53179115446,0.0,13157.53179115446
HERD_GIVEBACK_S1,F08,AMZN,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3137827515683844,0.0,-0.17452540790745585,0.0,1.6350398444649057,1.7979201729456573,1.0,1.0,1.0,0.7904589148301173,0.0,0.0,13137.827515683859,13137.827515683859,0.0,13137.827515683859
HERD_GIVEBACK_S1,F08,AMZN,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.31050852791498285,0.0,-0.17452540790745574,0.0,1.6219940430405477,1.779159445251856,1.0,1.0,1.0,0.791445754923538,0.0,0.0,13105.08527914982,13105.08527914982,0.0,13105.08527914982
GIVEBACK_BASELINE,F08,APD,10,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.0031795338685320917,0.0,-0.28750829014960577,0.0,0.13982702476316256,-0.011058929350794066,1.0,1.0,1.0,1.0876540600448612,0.0,0.0,9968.204661314685,9968.204661314685,0.0,9968.204661314685
GIVEBACK_BASELINE,F08,APD,25,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.0046723385503780746,0.0,-0.28750829014960455,0.0,0.13503099263334042,-0.016251143742487668,1.0,1.0,1.0,1.088469392923456,0.0,0.0,9953.276614496212,9953.276614496212,0.0,9953.276614496212
GIVEBACK_BASELINE,F08,APD,50,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.007152904966793994,0.0,-0.287508290149605,0.0,0.12706071278495099,-0.024878952057597985,1.0,1.0,1.0,1.0898282810544464,0.0,0.0,9928.470950332065,9928.470950332065,0.0,9928.470950332065
HERD_GIVEBACK_S1,F08,APD,10,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.0031795338685320917,0.0,-0.28750829014960577,0.0,0.13982702476316256,-0.011058929350794066,1.0,1.0,1.0,1.0876540600448612,0.0,0.0,9968.204661314685,9968.204661314685,0.0,9968.204661314685
HERD_GIVEBACK_S1,F08,APD,25,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.0046723385503780746,0.0,-0.28750829014960455,0.0,0.13503099263334042,-0.016251143742487668,1.0,1.0,1.0,1.088469392923456,0.0,0.0,9953.276614496212,9953.276614496212,0.0,9953.276614496212
HERD_GIVEBACK_S1,F08,APD,50,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.007152904966793994,0.0,-0.287508290149605,0.0,0.12706071278495099,-0.024878952057597985,1.0,1.0,1.0,1.0898282810544464,0.0,0.0,9928.470950332065,9928.470950332065,0.0,9928.470950332065
GIVEBACK_BASELINE,F08,AVGO,10,True,1,0,0,0,0.0,False,1,712.8625316070027,0.0,0.6378385584751278,-0.011163868171636837,-0.2053881879083692,0.00737309059156821,2.3355230627307115,3.1055269778206025,0.9803346746126548,0.9800006164654222,0.983286268351287,0.7996656689150051,-111.6386817163766,-5.840686080329974,16378.385584751279,16490.024266467655,-111.6386817163766,16378.385584751279
GIVEBACK_BASELINE,F08,AVGO,25,True,1,0,0,0,0.0,False,1,710.7271469556977,0.0,0.6352790041574066,-0.01125393211821013,-0.20539886616880176,0.007362412331136103,2.330798610778116,3.092904143079928,0.9803349136015461,0.9800435263033512,0.9833102322075962,0.8002095714379842,-112.53932118210832,-5.8319392660116876,16352.790041574064,16465.329362756172,-112.53932118210832,16352.790041574064
GIVEBACK_BASELINE,F08,AVGO,50,True,1,0,0,0,0.0,False,1,707.1823676305318,0.0,0.6310261943084137,-0.011403234686701236,-0.20541664792045766,0.007344630579479983,2.3225401747566097,3.0719330721079743,0.9803353200079439,0.9801147974184629,0.9833501390626356,0.8011161085331602,-114.0323468670249,-5.817404843583631,16310.2619430841,16424.294289951125,-114.0323468670249,16310.2619430841
HERD_GIVEBACK_S1,F08,AVGO,10,True,1,0,0,0,0.0,False,1,712.8625316070027,0.0,0.6378385584751278,-0.011163868171636837,-0.2053881879083692,0.00737309059156821,2.3355230627307115,3.1055269778206025,0.9803346746126548,0.9800006164654222,0.983286268351287,0.7996656689150051,-111.6386817163766,-5.840686080329974,16378.385584751279,16490.024266467655,-111.6386817163766,16378.385584751279
HERD_GIVEBACK_S1,F08,AVGO,25,True,1,0,0,0,0.0,False,1,710.7271469556977,0.0,0.6352790041574066,-0.01125393211821013,-0.20539886616880176,0.007362412331136103,2.330798610778116,3.092904143079928,0.9803349136015461,0.9800435263033512,0.9833102322075962,0.8002095714379842,-112.53932118210832,-5.8319392660116876,16352.790041574064,16465.329362756172,-112.53932118210832,16352.790041574064
HERD_GIVEBACK_S1,F08,AVGO,50,True,1,0,0,0,0.0,False,1,707.1823676305318,0.0,0.6310261943084137,-0.011403234686701236,-0.20541664792045766,0.007344630579479983,2.3225401747566097,3.0719330721079743,0.9803353200079439,0.9801147974184629,0.9833501390626356,0.8011161085331602,-114.0323468670249,-5.817404843583631,16310.2619430841,16424.294289951125,-114.0323468670249,16310.2619430841
GIVEBACK_BASELINE,F08,BA,10,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.26502089055984557,0.0,-0.3781738046691332,0.0,-1.0616179861271025,-0.7007912427771514,1.0,1.0,1.0,1.151228413978274,0.0,0.0,7349.791094401548,7349.791094401548,0.0,7349.791094401548
GIVEBACK_BASELINE,F08,BA,25,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.26612157046451235,0.0,-0.3781738046691334,0.0,-1.068339969446152,-0.703701756120691,1.0,1.0,0.9999999999999998,1.1520914037938497,0.0,0.0,7338.784295354876,7338.784295354876,0.0,7338.784295354876
GIVEBACK_BASELINE,F08,BA,50,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.26795055026337267,0.0,-0.3781738046691334,0.0,-1.0797522287685375,-0.7085381032612882,1.0,1.0,1.0000000000000002,1.1535297201531438,0.0,0.0,7320.494497366282,7320.494497366282,0.0,7320.494497366282
HERD_GIVEBACK_S1,F08,BA,10,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.26502089055984557,0.0,-0.3781738046691332,0.0,-1.0616179861271025,-0.7007912427771514,1.0,1.0,1.0,1.151228413978274,0.0,0.0,7349.791094401548,7349.791094401548,0.0,7349.791094401548
HERD_GIVEBACK_S1,F08,BA,25,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.26612157046451235,0.0,-0.3781738046691334,0.0,-1.068339969446152,-0.703701756120691,1.0,1.0,0.9999999999999998,1.1520914037938497,0.0,0.0,7338.784295354876,7338.784295354876,0.0,7338.784295354876
HERD_GIVEBACK_S1,F08,BA,50,False,0,0,0,0,0.0,False,0,0.0,0.0,-0.26795055026337267,0.0,-0.3781738046691334,0.0,-1.0797522287685375,-0.7085381032612882,1.0,1.0,1.0000000000000002,1.1535297201531438,0.0,0.0,7320.494497366282,7320.494497366282,0.0,7320.494497366282
GIVEBACK_BASELINE,F08,BAC,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.24951357653607276,0.0,-0.2038973037605667,0.0,1.8096349871260546,1.2237218047231881,1.0,1.0,1.0000000000000002,0.8981487929779142,0.0,0.0,12495.135765360721,12495.135765360721,0.0,12495.135765360721
GIVEBACK_BASELINE,F08,BAC,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.24764234718187894,0.0,-0.20389730376056636,0.0,1.7986880500327063,1.2145444918324264,1.0,1.0,0.9999999999999998,0.8988220679351685,0.0,0.0,12476.423471818804,12476.423471818804,0.0,12476.423471818804
GIVEBACK_BASELINE,F08,BAC,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.24453295936318953,0.0,-0.20389730376056647,0.0,1.7804977235643094,1.199294717748406,1.0,1.0,1.0000000000000002,0.899944192863927,0.0,0.0,12445.329593631905,12445.329593631905,0.0,12445.329593631905
HERD_GIVEBACK_S1,F08,BAC,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.24951357653607276,0.0,-0.2038973037605667,0.0,1.8096349871260546,1.2237218047231881,1.0,1.0,1.0000000000000002,0.8981487929779142,0.0,0.0,12495.135765360721,12495.135765360721,0.0,12495.135765360721
HERD_GIVEBACK_S1,F08,BAC,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.24764234718187894,0.0,-0.20389730376056636,0.0,1.7986880500327063,1.2145444918324264,1.0,1.0,0.9999999999999998,0.8988220679351685,0.0,0.0,12476.423471818804,12476.423471818804,0.0,12476.423471818804
HERD_GIVEBACK_S1,F08,BAC,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.24453295936318953,0.0,-0.20389730376056647,0.0,1.7804977235643094,1.199294717748406,1.0,1.0,1.0000000000000002,0.899944192863927,0.0,0.0,12445.329593631905,12445.329593631905,0.0,12445.329593631905
GIVEBACK_BASELINE,F08,CAT,10,True,2,0,0,0,0.0,False,2,1167.5989998982457,0.0,0.14777780035776278,0.00537569468691812,-0.20622506096775672,0.0,0.9105845562265991,0.7165850729503134,0.9843335076642714,0.9799457686696414,0.9831799175673979,1.032607540917289,53.7569468691745,-3.558010719710566,11477.778003577598,11424.021056708423,53.7569468691745,11477.778003577598
GIVEBACK_BASELINE,F08,CAT,25,True,2,0,0,0,0.0,False,2,1164.101449006293,0.0,0.14588402766355713,0.005192744823748541,-0.2062250609677576,0.0,0.9014941275517961,0.7074020343549102,0.984306991869041,0.9800437846496359,0.9832032348669071,1.0332485198212906,51.92744823747853,-3.5526823629593665,11458.840276635585,11406.912828398106,51.92744823747853,11458.840276635585
GIVEBACK_BASELINE,F08,CAT,50,True,2,0,0,0,0.0,False,2,1158.2954476926968,0.0,0.14273776153188034,0.004889321905717781,-0.2062250609677574,0.0,0.8861277685113931,0.6921455659271059,0.984262854770762,0.9802064935502228,0.9832420698502926,1.034316849525478,48.893219057190436,-3.5438283293591013,11427.377615318801,11378.48439626161,48.893219057190436,11427.377615318801
HERD_GIVEBACK_S1,F08,CAT,10,True,1,0,0,0,0.0,False,1,569.3782735212213,0.0,0.1422198277394251,-0.00018227793141956106,-0.20622506096775672,0.0,0.8808912767524917,0.6896340681002934,0.9932165641258995,0.9928536135040297,0.9937310497162772,0.9775371425150565,-1.822779314199579,-1.8246208819028524,11422.198277394224,11424.021056708423,-1.822779314199579,11422.198277394224
HERD_GIVEBACK_S1,F08,CAT,25,True,1,0,0,0,0.0,False,1,567.6726969589031,0.0,0.14042398839370795,-0.0002672944461006299,-0.2062250609677576,0.0,0.8723114627335468,0.6809259152827339,0.9931787771117903,0.9928712409230068,0.9937400043294169,0.9782009877964872,-2.6729444610009523,-1.8218883912612114,11404.239883937105,11406.912828398106,-2.6729444610009523,11404.239883937105
