ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
BRO,0000079282,0000950170-25-009270,8-K,2025-01-27,2025-01-27T22:03:23.000Z,2.02,bro-20250127.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025009270,https://www.sec.gov/Archives/edgar/data/79282/000095017025009270/index.json,NOT_CLASSIFIED
DECK,0000910521,0000910521-25-000002,8-K,2025-01-30,2025-01-30T21:09:46.000Z,2.02,deck-20250130.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052125000002,https://www.sec.gov/Archives/edgar/data/910521/000091052125000002/index.json,NOT_CLASSIFIED
EQT,0000033213,0000033213-25-000002,8-K,2025-01-30,2025-01-30T21:15:19.000Z,2.02,eqt-20250130.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321325000002,https://www.sec.gov/Archives/edgar/data/33213/000003321325000002/index.json,NOT_CLASSIFIED
MPWR,0001280452,0001437749-25-003024,8-K,2025-02-06,2025-02-06T21:01:11.000Z,2.02,mpwr20241112c_8k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774925003024,https://www.sec.gov/Archives/edgar/data/1280452/000143774925003024/index.json,NOT_CLASSIFIED
CPT,0000906345,0000906345-25-000003,8-K,2025-02-06,2025-02-06T21:22:24.000Z,2.02,cpt-20250206.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634525000003,https://www.sec.gov/Archives/edgar/data/906345/000090634525000003/index.json,NOT_CLASSIFIED
ON,0001097864,0001193125-25-023201,8-K,2025-02-10,2025-02-10T13:05:26.000Z,2.02,d926041d8k.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312525023201,https://www.sec.gov/Archives/edgar/data/1097864/000119312525023201/index.json,NOT_CLASSIFIED
ACGL,0000947484,0000947484-25-000008,8-K,2025-02-10,2025-02-10T21:07:44.000Z,2.02,acgl-20250210.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748425000008,https://www.sec.gov/Archives/edgar/data/947484/000094748425000008/index.json,NOT_CLASSIFIED
GNRC,0001474735,0001437749-25-003476,8-K,2025-02-12,2025-02-12T11:01:14.000Z,2.02,gnrc20250211_8k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774925003476,https://www.sec.gov/Archives/edgar/data/1474735/000143774925003476/index.json,NOT_CLASSIFIED
TPL,0001811074,0001811074-25-000042,8-K,2025-02-19,2025-02-19T21:19:08.000Z,"2.02,7.01",tpl-20250219.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107425000042,https://www.sec.gov/Archives/edgar/data/1811074/000181107425000042/index.json,NOT_CLASSIFIED
FSLR,0001274494,0001274494-25-000006,8-K,2025-02-20,2025-02-20T21:09:21.000Z,2.02,fslr-20250220.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449425000006,https://www.sec.gov/Archives/edgar/data/1274494/000127449425000006/index.json,NOT_CLASSIFIED
FIX,0001035983,0001104659-25-016130,8-K,2025-02-21,2025-02-21T21:05:26.000Z,7.01,tm257232d2_8k.htm,https://www.sec.gov/Archives/edgar/data/1035983/000110465925016130,https://www.sec.gov/Archives/edgar/data/1035983/000110465925016130/index.json,NOT_CLASSIFIED
AXON,0001069183,0001069183-25-000015,8-K,2025-02-25,2025-02-25T21:08:20.000Z,2.02,axon-20250225.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000015,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000015/index.json,NOT_CLASSIFIED
EME,0000105634,0000105634-25-000019,8-K,2025-02-26,2025-02-26T17:17:02.000Z,2.02,eme-20250226.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563425000019,https://www.sec.gov/Archives/edgar/data/105634/000010563425000019/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-25-000003,8-K,2025-02-27,2025-02-27T21:20:22.000Z,2.02,erie-20250227.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262125000003,https://www.sec.gov/Archives/edgar/data/922621/000092262125000003/index.json,NOT_CLASSIFIED
MRVL,0001835632,0001835632-25-000051,8-K,2025-03-05,2025-03-05T21:09:48.000Z,2.02,mrvl-20250305.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000051,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000051/index.json,NOT_CLASSIFIED
CIEN,0000936395,0000936395-25-000005,8-K,2025-03-11,2025-03-11T11:27:01.000Z,2.02,cien-20250311.htm,https://www.sec.gov/Archives/edgar/data/936395/000093639525000005,https://www.sec.gov/Archives/edgar/data/936395/000093639525000005/index.json,NOT_CLASSIFIED
WSM,0000719955,0001628280-25-013687,8-K,2025-03-19,2025-03-19T13:09:22.000Z,2.02,wsm-20250319.htm,https://www.sec.gov/Archives/edgar/data/719955/000162828025013687,https://www.sec.gov/Archives/edgar/data/719955/000162828025013687/index.json,NOT_CLASSIFIED
MPWR,0001280452,0001437749-25-008519,8-K,2025-03-20,2025-03-20T15:50:22.000Z,7.01,mpwr20250307_8k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774925008519,https://www.sec.gov/Archives/edgar/data/1280452/000143774925008519/index.json,NOT_CLASSIFIED
BX,0001393818,0001193125-25-062559,8-K,2025-03-25,2025-03-25T20:17:33.000Z,7.01,d942397d8k.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312525062559,https://www.sec.gov/Archives/edgar/data/1393818/000119312525062559/index.json,NOT_CLASSIFIED
BRO,0000079282,0000950170-25-049525,8-K,2025-04-02,2025-04-02T21:00:36.000Z,7.01,bro-20250402.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025049525,https://www.sec.gov/Archives/edgar/data/79282/000095017025049525/index.json,NOT_CLASSIFIED
BX,0001393818,0001193125-25-083472,8-K,2025-04-17,2025-04-17T10:56:12.000Z,2.02,d894616d8k.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312525083472,https://www.sec.gov/Archives/edgar/data/1393818/000119312525083472/index.json,NOT_CLASSIFIED
EQT,0000033213,0000033213-25-000021,8-K,2025-04-22,2025-04-22T20:30:23.000Z,2.02,eqt-20250422.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321325000021,https://www.sec.gov/Archives/edgar/data/33213/000003321325000021/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-25-000015,8-K,2025-04-24,2025-04-24T20:20:12.000Z,2.02,erie-20250422.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262125000015,https://www.sec.gov/Archives/edgar/data/922621/000092262125000015/index.json,NOT_CLASSIFIED
BRO,0000079282,0000950170-25-059389,8-K,2025-04-28,2025-04-28T21:03:47.000Z,2.02,bro-20250428.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025059389,https://www.sec.gov/Archives/edgar/data/79282/000095017025059389/index.json,NOT_CLASSIFIED
FSLR,0001274494,0001274494-25-000032,8-K,2025-04-29,2025-04-29T20:04:26.000Z,2.02,fslr-20250429.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449425000032,https://www.sec.gov/Archives/edgar/data/1274494/000127449425000032/index.json,NOT_CLASSIFIED
ACGL,0000947484,0000947484-25-000041,8-K,2025-04-29,2025-04-29T20:09:43.000Z,2.02,acgl-20250429.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748425000041,https://www.sec.gov/Archives/edgar/data/947484/000094748425000041/index.json,NOT_CLASSIFIED
GNRC,0001474735,0001437749-25-013608,8-K,2025-04-30,2025-04-30T10:01:33.000Z,2.02,gnrc20250428_8k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774925013608,https://www.sec.gov/Archives/edgar/data/1474735/000143774925013608/index.json,NOT_CLASSIFIED
FIX,0001035983,0001104659-25-042486,8-K,2025-04-30,2025-04-30T20:05:19.000Z,7.01,tm2513512d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1035983/000110465925042486,https://www.sec.gov/Archives/edgar/data/1035983/000110465925042486/index.json,NOT_CLASSIFIED
MPWR,0001280452,0001437749-25-014082,8-K,2025-05-01,2025-05-01T20:01:12.000Z,2.02,mpwr20250305c_8k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774925014082,https://www.sec.gov/Archives/edgar/data/1280452/000143774925014082/index.json,NOT_CLASSIFIED
CPT,0000906345,0000906345-25-000022,8-K,2025-05-01,2025-05-01T20:34:38.000Z,2.02,cpt-20250501.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634525000022,https://www.sec.gov/Archives/edgar/data/906345/000090634525000022/index.json,NOT_CLASSIFIED
MRVL,0001835632,0001193125-25-113881,8-K,2025-05-06,2025-05-06T21:02:28.000Z,2.02,d920821d8k.htm,https://www.sec.gov/Archives/edgar/data/1835632/000119312525113881,https://www.sec.gov/Archives/edgar/data/1835632/000119312525113881/index.json,NOT_CLASSIFIED
TPL,0001811074,0001811074-25-000058,8-K,2025-05-07,2025-05-07T20:16:38.000Z,"2.02,7.01",tpl-20250507.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107425000058,https://www.sec.gov/Archives/edgar/data/1811074/000181107425000058/index.json,NOT_CLASSIFIED
WSM,0000719955,0001628280-25-027155,8-K,2025-05-22,2025-05-22T13:02:44.000Z,2.02,wsm-20250522.htm,https://www.sec.gov/Archives/edgar/data/719955/000162828025027155,https://www.sec.gov/Archives/edgar/data/719955/000162828025027155/index.json,NOT_CLASSIFIED
NDSN,0000072331,0000072331-25-000053,8-K,2025-05-28,2025-05-28T20:35:55.000Z,"2.02,7.01",ndsn-20250528.htm,https://www.sec.gov/Archives/edgar/data/72331/000007233125000053,https://www.sec.gov/Archives/edgar/data/72331/000007233125000053/index.json,NOT_CLASSIFIED
MRVL,0001835632,0001835632-25-000115,8-K,2025-05-29,2025-05-29T20:06:20.000Z,2.02,mrvl-20250529.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000115,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000115/index.json,NOT_CLASSIFIED
CIEN,0000936395,0000936395-25-000023,8-K,2025-06-05,2025-06-05T11:05:10.000Z,2.02,cien-20250605.htm,https://www.sec.gov/Archives/edgar/data/936395/000093639525000023,https://www.sec.gov/Archives/edgar/data/936395/000093639525000023/index.json,NOT_CLASSIFIED
BRO,0000079282,0001193125-25-138153,8-K,2025-06-10,2025-06-10T10:46:11.000Z,7.01,d32630d8k.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312525138153,https://www.sec.gov/Archives/edgar/data/79282/000119312525138153/index.json,NOT_CLASSIFIED
