accession_number,cik,filing_date,prior_extraction_status,extraction_method,candidate_symbols,source_sha256,review_role,development_regression_status
0001104659-17-038953,0001001250,2017-06-13,NO_CANDIDATE_FOUND,NONE,,f57f5633ad7bba14f4cfaaf5cabdbe31694a28e8b410ea64009c29737591a6ec,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-17-039161,0001013871,2017-06-14,NO_CANDIDATE_FOUND,NONE,,2cdec8eab99ff1727df264afb6001d5e928d6af4361a0eea9094554e783793d6,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-17-042332,0001163165,2017-06-29,NO_CANDIDATE_FOUND,NONE,,60789f38c03785a4d3a0e0042d72e83281b9af819033e6b978566773e4a62c00,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001013871-17-000015,0001013871,2017-07-13,NO_CANDIDATE_FOUND,NONE,,8607f5cbaccd129ad8dfbe6c6b06fc4c52e681a8d9df2b212a24540a5f1fc3f2,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-234418,0001286681,2017-07-25,NO_CANDIDATE_FOUND,NONE,,634198df0dd8ec5bbc30e5b87ab7698df08d1e329818edbcb040320b40430e84,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-234440,0001137789,2017-07-25,NO_CANDIDATE_FOUND,NONE,,1084749beeeb14c5d11a121d75e10a6e7db5231199153b975fa645a27107ca5c,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000009389-17-000026,0000009389,2017-07-27,NO_CANDIDATE_FOUND,NONE,,2cfccb394441f50f11b46cd3aa5ab1f71c149236934fcf4ba2b0d113ff0065cb,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-246965,0000048898,2017-08-03,NO_CANDIDATE_FOUND,NONE,,5ce0e081c9a6fc3dc56366b041ca79b6ed023ee91fc71657a6d057b23fa9f201,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000100885-17-000187,0000100885,2017-08-16,NO_CANDIDATE_FOUND,NONE,,fd25682f3777551b4c462231cfac12827bd26ea43ea90292ceeaab05ac8df472,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-263644,0000075677,2017-08-21,NO_CANDIDATE_FOUND,NONE,,578faedd2906b0981cb03163d984d604740d89b3a6283a730a3378255917dc4d,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-17-054184,0001326160,2017-08-29,NO_CANDIDATE_FOUND,NONE,,9659c967b32987170eeb7d251baeeb74ebcab93974e6a43b3e531b0e1048140d,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000009389-17-000034,0000009389,2017-09-01,NO_CANDIDATE_FOUND,NONE,,8245278cf4adae51c18f81244a64f6e3b619155bedaaadc683cb3c5745f25c27,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-281776,0001403161,2017-09-11,NO_CANDIDATE_FOUND,NONE,,f54e22f391ff6ceceaebbdaddfaaad2cdb20a062821e38131bcd70c295328fae,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000721371-17-000128,0000721371,2017-10-04,NO_CANDIDATE_FOUND,NONE,,68db90961d309e110dcffb2500c12751f6b6cf1d95d57e4ad04d4d7324b55731,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000875320-17-000054,0000875320,2017-10-25,NO_CANDIDATE_FOUND,NONE,,2fde68c65c5234ebef1da11091b536edffb4a0bd0fa73886f14cee77e69416e9,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001157523-17-002846,0000021665,2017-10-27,NO_CANDIDATE_FOUND,NONE,,5a4600486ce5c5a8fd2c469ede7aef5bc8e8d6d702b56d4c42ba48e19abe90e0,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001666700-17-000022,0001666700,2017-11-02,NO_CANDIDATE_FOUND,NONE,,fd28ab6f30d6740868898e7072bc910147ec112e154ab993f1e006862d3a2373,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-17-069963,0001001250,2017-11-21,NO_CANDIDATE_FOUND,NONE,,5361cac6201c6ac46609cab154324e19e36d04d11d48a6d8249c06cd0731d4f3,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000769397-17-000054,0000769397,2017-11-28,NO_CANDIDATE_FOUND,NONE,,3cb3842ce0080d335ce0b4a256f56732ccd24adda5c5b1fdb11e6386e7404d7f,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-355694,0000049071,2017-11-29,NO_CANDIDATE_FOUND,NONE,,ef91776b315003aae444c3bad087c8928489250368889bd9e07b5b3fbf44c6b6,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001137789-17-000101,0001137789,2017-12-11,NO_CANDIDATE_FOUND,NONE,,e9119b6af2eadfa9952b4a5bf21cb99f240b7b52cfdec9e9f78a947ebe441a3c,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001628280-17-012399,0001109357,2017-12-18,NO_CANDIDATE_FOUND,NONE,,9dd6d86ead773c11204e23e1e1365acd758f3ce8c4c7b7af5c61e05a156208ce,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-18-000985,0000217346,2018-01-05,NO_CANDIDATE_FOUND,NONE,,025e7cba4ffa91886f608c9eb31573076ec6342d0803f7a91f367d642b04b968,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001628280-18-000148,0000765880,2018-01-05,NO_CANDIDATE_FOUND,NONE,,ce7cb0d3044801c26cc7b00bb6fff7d519c806c5a671cbc057fa2a91cec83124,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001613103-18-000002,0001613103,2018-01-08,NO_CANDIDATE_FOUND,NONE,,5c78c392e2b1d48246feee40a92d4f3264316699fa57c7ce6a3a9e30d914ef16,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-18-004007,0000866374,2018-01-25,NO_CANDIDATE_FOUND,NONE,,183cb4e423eac06f8c1808d0c3daba4c8a84355b6b7a8cc17f38930afdfb7a49,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000827052-18-000033,0000827052,2018-01-31,NO_CANDIDATE_FOUND,NONE,,64c271f044fe5fbf19a4da8d425505a22dcc15577b30b743ea0400907009fb4f,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001628280-18-000874,0001109357,2018-02-02,NO_CANDIDATE_FOUND,NONE,,9f058b9c9672a76bd56ceb5f1dfd639dd958fd82ae478135b72557ee6ca32b7a,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001467858-18-000028,0001467858,2018-02-13,NO_CANDIDATE_FOUND,NONE,,4f89e708a503c1f5349973e20493b9ed810ca857d4698d0b5c82d946b888e045,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000947871-18-000137,0001144519,2018-02-14,NO_CANDIDATE_FOUND,NONE,,d21eaa90ad945fd6cfaf818edb653db34cafbe3065bd0e3f618986648c9153ce,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000105770-18-000004,0000105770,2018-02-15,NO_CANDIDATE_FOUND,NONE,,ed1bc9b8f37c84ce17b7f817e49a731a1a818fa66420c349652484e9788dba9a,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001031296-18-000016,0001031296,2018-02-20,NO_CANDIDATE_FOUND,NONE,,4bfc8d129c30650c5a96c7e6aa87e58c1adc080540cd9eeec3c89fce30cf16cc,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000764478-18-000004,0000764478,2018-03-01,NO_CANDIDATE_FOUND,NONE,,7044db4a1cfe4f0fa18c3d96480326e26b7f00a16065b3002627ad08f0ace2fe,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-18-019573,0000001800,2018-03-22,NO_CANDIDATE_FOUND,NONE,,c7ce9dbcd11110b783cc08b956c2d42c9e0a5a3715e3c3a49e324299dfcee373,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-18-019867,0001001250,2018-03-23,NO_CANDIDATE_FOUND,NONE,,0f0a47513e8a2f3f0a7d7ee922a7c3b2af7e9f8ff16521d24bcf7b8cba2b9f64,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000200406-18-000015,0000200406,2018-04-17,NO_CANDIDATE_FOUND,NONE,,ca0ce1a0887f4d8e47508f2d0534209942aed86f095a394bef3111a91d642058,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-18-126146,0000732717,2018-04-23,NO_CANDIDATE_FOUND,NONE,,61783a79dda5cc47fa1f1c416a6e030a8bc591e30c278f4ca56e859388f9fdaa,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-18-026348,0000008818,2018-04-25,NO_CANDIDATE_FOUND,NONE,,2ae59cbcdb8e7a52e4e47da81f8386ab062d2699f6087861f1ec93c369ae44d8,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-18-131673,0000927653,2018-04-25,NO_CANDIDATE_FOUND,NONE,,cd15b5b2c74852a97c2dc5040b58128162c6603389f0fb99e57d7a21cb6075ad,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
