signal_date,ticker,state,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id,group
2022-06-30,NEM,BREAKING_RUSH,1,2022-07-31,-0.241159603919,-0.252723299094,F02,TREATMENT
2022-03-31,DUK,HEALTHY_RUSH,3,2022-06-30,-0.0311707881874,-0.116025821776,F02,CONTROL
2022-03-31,NEM,HEALTHY_RUSH,3,2022-06-30,-0.242823850543,-0.242823850543,F02,CONTROL
2022-04-30,JNJ,HEALTHY_RUSH,3,2022-07-31,-0.0267016255976,-0.062004032311,F02,CONTROL
2022-04-30,MRK,EXTENDING_RUSH,3,2022-07-31,0.0155729653736,-0.0416056608683,F02,CONTROL
2022-04-30,WMT,EXTENDING_RUSH,3,2022-07-31,-0.13373407068,-0.224001569416,F02,CONTROL
2022-04-30,WMT,EXTENDING_RUSH,1,2022-05-31,-0.156169734695,-0.218884609575,F02,CONTROL
2022-06-30,WMT,BREAKING_RUSH,1,2022-07-31,0.0861161557715,0.00328972003308,F02,TREATMENT
2022-04-30,JNJ,HEALTHY_RUSH,1,2022-05-31,0.00123928382874,-0.0361298692366,F02,CONTROL
2022-04-30,MRK,EXTENDING_RUSH,1,2022-05-31,0.0376594125076,-0.0179276814446,F02,CONTROL
2022-08-31,CVX,EXHAUSTED_RUSH,1,2022-09-30,-0.0910415240519,-0.108186628699,F03,TREATMENT
2022-12-31,CVX,HEALTHY_RUSH,1,2023-01-31,-0.0304750669203,-0.0409495107758,F03,CONTROL
2022-08-31,DUK,BREAKING_RUSH,1,2022-09-30,-0.129922561101,-0.129922561101,F03,TREATMENT
2022-08-31,EOG,HEALTHY_RUSH,1,2022-09-30,-0.0675151307264,-0.122180703761,F03,CONTROL
2022-08-31,MRK,BREAKING_RUSH,1,2022-09-30,0.0170369224339,-0.00174042675056,F03,TREATMENT
2022-10-31,MRK,EXTENDING_RUSH,1,2022-11-30,0.0881422732426,-0.032015969389,F03,CONTROL
2023-02-28,MRK,BREAKING_RUSH,1,2023-03-31,0.00837429109667,-0.0133307454455,F03,TREATMENT
2023-04-30,MRK,HEALTHY_RUSH,1,2023-05-31,-0.0438209347719,-0.0545598114923,F03,CONTROL
2022-08-31,TMUS,EXTENDING_RUSH,1,2022-09-30,-0.0680052363995,-0.0808559027602,F03,CONTROL
2022-10-31,TMUS,HEALTHY_RUSH,1,2022-11-30,-0.000659681910128,-0.0440747614816,F03,CONTROL
2022-08-31,UNH,EXHAUSTED_RUSH,1,2022-09-30,-0.0244646852132,-0.0244646852132,F03,TREATMENT
2022-10-31,UNH,HEALTHY_RUSH,1,2022-11-30,-0.013311804278,-0.0939206947469,F03,CONTROL
2023-01-31,UNH,BREAKING_RUSH,1,2023-02-28,-0.0465755333175,-0.0568121655253,F03,TREATMENT
2022-08-31,XOM,EXHAUSTED_RUSH,1,2022-09-30,-0.0866199426643,-0.121456193526,F03,TREATMENT
2023-02-28,XOM,EXHAUSTED_RUSH,1,2023-03-31,-0.00227451297804,-0.0916204716529,F03,TREATMENT
2023-04-30,XOM,HEALTHY_RUSH,1,2023-05-31,-0.129063146825,-0.129063146825,F03,CONTROL
2022-08-31,COP,EXHAUSTED_RUSH,1,2022-09-30,-0.0515155536895,-0.0976703778429,F03,TREATMENT
2022-10-31,COP,EXTENDING_RUSH,1,2022-11-30,-0.0167179070291,-0.0167179070291,F03,CONTROL
2022-08-31,CVX,EXHAUSTED_RUSH,3,2022-11-30,0.168720601632,-0.108186628699,F03,TREATMENT
2022-12-31,CVX,HEALTHY_RUSH,3,2023-03-31,-0.0829439800537,-0.143758998033,F03,CONTROL
2022-08-31,DUK,BREAKING_RUSH,3,2022-11-30,-0.0555977568341,-0.195865661494,F03,TREATMENT
2022-08-31,MRK,BREAKING_RUSH,6,2023-02-28,0.262957003261,-0.00174042675056,F03,TREATMENT
2022-08-31,TMUS,EXTENDING_RUSH,6,2023-02-28,-0.0123648101817,-0.0864129073684,F03,CONTROL
2022-08-31,UNH,EXHAUSTED_RUSH,6,2023-02-28,-0.0778403328559,-0.0877412842992,F03,TREATMENT
2022-08-31,XOM,EXHAUSTED_RUSH,6,2023-02-28,0.167981581528,-0.121456193526,F03,TREATMENT
2022-08-31,COP,EXHAUSTED_RUSH,3,2022-11-30,0.149062073967,-0.0976703778429,F03,TREATMENT
2022-08-31,CVX,EXHAUSTED_RUSH,6,2023-02-28,0.0340748635965,-0.108186628699,F03,TREATMENT
2022-08-31,COP,EXHAUSTED_RUSH,6,2023-02-28,-0.0281880680646,-0.0976703778429,F03,TREATMENT
2022-08-31,EOG,HEALTHY_RUSH,6,2023-02-28,-0.0337505155154,-0.122180703761,F03,CONTROL
2022-08-31,DUK,BREAKING_RUSH,6,2023-02-28,-0.100071139326,-0.195865661494,F03,TREATMENT
2022-08-31,EOG,HEALTHY_RUSH,3,2022-11-30,0.191548268289,-0.122180703761,F03,CONTROL
2022-08-31,MRK,BREAKING_RUSH,3,2022-11-30,0.300465518847,-0.00174042675056,F03,TREATMENT
2023-02-28,MRK,BREAKING_RUSH,3,2023-05-31,0.0464761301716,-0.0133307454455,F03,TREATMENT
2022-08-31,TMUS,EXTENDING_RUSH,3,2022-11-30,0.0520977269404,-0.0864129073684,F03,CONTROL
2022-08-31,UNH,EXHAUSTED_RUSH,3,2022-11-30,0.0580531173566,-0.0364020549341,F03,TREATMENT
2023-01-31,UNH,BREAKING_RUSH,3,2023-04-30,-0.0107121409783,-0.0745617741533,F03,TREATMENT
2022-08-31,XOM,EXHAUSTED_RUSH,3,2022-11-30,0.174142651912,-0.121456193526,F03,TREATMENT
2023-02-28,XOM,EXHAUSTED_RUSH,3,2023-05-31,-0.0622631086685,-0.0916204716529,F03,TREATMENT
2022-09-30,MCD,BREAKING_RUSH,3,2022-12-31,0.148540460778,0.0106181306263,F03,TREATMENT
2023-01-31,MCD,BREAKING_RUSH,3,2023-04-30,0.112407011725,-0.0252056833511,F03,TREATMENT
2022-09-30,MCD,BREAKING_RUSH,6,2023-03-31,0.225657777823,0.0106181306263,F03,TREATMENT
2022-09-30,KO,BREAKING_RUSH,1,2022-10-31,0.0683681981746,-0.0290968989995,F03,TREATMENT
2022-12-31,KO,HEALTHY_RUSH,1,2023-01-31,-0.036000557776,-0.0611538191044,F03,CONTROL
2023-02-28,KO,BREAKING_RUSH,1,2023-03-31,0.0503410845919,-0.0109224510742,F03,TREATMENT
2023-04-30,KO,HEALTHY_RUSH,1,2023-05-31,-0.0699920958233,-0.0699920958233,F03,CONTROL
2023-06-30,KO,BREAKING_RUSH,1,2023-07-31,0.0283958294845,-0.0151112575312,F03,TREATMENT
2022-09-30,LLY,EXHAUSTED_RUSH,6,2023-03-31,0.0684773033034,-0.0335417356956,F03,TREATMENT
2022-09-30,KO,BREAKING_RUSH,6,2023-03-31,0.123689696229,-0.0290968989995,F03,TREATMENT
2022-09-30,SLB,HEALTHY_RUSH,6,2023-03-31,0.378855278127,0.0668522943194,F03,CONTROL
2022-09-30,LLY,EXHAUSTED_RUSH,3,2022-12-31,0.134561470667,-0.00556686921889,F03,TREATMENT
2023-01-31,LLY,BREAKING_RUSH,3,2023-04-30,0.153975880057,-0.0944790180514,F03,TREATMENT
2022-09-30,LLY,EXHAUSTED_RUSH,1,2022-10-31,0.119808319297,-0.00556686921889,F03,TREATMENT
2022-11-30,LLY,EXTENDING_RUSH,1,2022-12-31,-0.0141210262358,-0.0358411840185,F03,CONTROL
2023-01-31,LLY,BREAKING_RUSH,1,2023-02-28,-0.0927590442899,-0.0927590442899,F03,TREATMENT
2023-04-30,LLY,EXTENDING_RUSH,1,2023-05-31,0.0877004468472,0.0210681687838,F03,CONTROL
2022-09-30,SLB,HEALTHY_RUSH,3,2022-12-31,0.49422590128,0.0668522943194,F03,CONTROL
2023-01-31,SLB,EXHAUSTED_RUSH,3,2023-04-30,-0.129809042792,-0.214094821687,F03,TREATMENT
2022-09-30,MCD,BREAKING_RUSH,1,2022-10-31,0.18167650226,0.0106181306263,F03,TREATMENT
2023-01-31,MCD,BREAKING_RUSH,1,2023-02-28,-0.00735292686551,-0.0252056833511,F03,TREATMENT
2023-03-31,MCD,HEALTHY_RUSH,1,2023-04-30,0.0577233320648,0.00861911003486,F03,CONTROL
2023-06-30,MCD,HEALTHY_RUSH,1,2023-07-31,-0.0174591667523,-0.0223183802559,F03,CONTROL
2022-09-30,KO,BREAKING_RUSH,3,2022-12-31,0.143540321259,-0.0290968989995,F03,TREATMENT
2023-02-28,KO,BREAKING_RUSH,3,2023-05-31,0.0102104589154,-0.0109224510742,F03,TREATMENT
2022-09-30,SLB,HEALTHY_RUSH,1,2022-10-31,0.449303511721,0.0668522943194,F03,CONTROL
2022-12-31,SLB,EXTENDING_RUSH,1,2023-01-31,0.0658437224491,-0.036662999605,F03,CONTROL
2023-03-31,SLB,BREAKING_RUSH,1,2023-04-30,0.00509166611387,-0.0268839260425,F03,TREATMENT
2022-10-31,NEE,BREAKING_RUSH,1,2022-11-30,0.0984536199797,-0.00283863632229,F03,TREATMENT
2022-10-31,PEP,EXTENDING_RUSH,1,2022-11-30,0.0216433682963,-0.0267101473403,F03,CONTROL
2023-01-31,PEP,BREAKING_RUSH,1,2023-02-28,0.0146765862923,-0.0111099832588,F03,TREATMENT
2023-03-31,PEP,HEALTHY_RUSH,1,2023-04-30,0.0471201710045,-0.00246826138295,F03,CONTROL
2022-10-31,SO,BREAKING_RUSH,1,2022-11-30,0.0439217104456,-0.0323763005933,F03,TREATMENT
