ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
ECHO,0001415404,0001415404-19-000026,8-K,2019-05-20,2019-05-20T10:28:55.000Z,7.01,projectpastorannouncement.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000026,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000026/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-19-161329,8-K,2019-05-30,2019-05-30T20:28:32.000Z,2.02,d736753d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312519161329,https://www.sec.gov/Archives/edgar/data/719955/000119312519161329/index.json,NOT_CLASSIFIED
CRWD,0001535527,0001558370-19-006148,8-K,2019-07-18,2019-07-18T20:18:06.000Z,2.02,f8-k.htm,https://www.sec.gov/Archives/edgar/data/1535527/000155837019006148,https://www.sec.gov/Archives/edgar/data/1535527/000155837019006148/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-19-008892,8-K,2019-07-23,2019-07-23T20:17:25.000Z,2.02,rhiq220198-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828019008892,https://www.sec.gov/Archives/edgar/data/315213/000162828019008892/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-19-000022,8-K,2019-07-25,2019-07-25T20:22:14.000Z,2.02,erie8-k06302019.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262119000022,https://www.sec.gov/Archives/edgar/data/922621/000092262119000022/index.json,NOT_CLASSIFIED
CRWD,0001535527,0001558370-19-008509,8-K,2019-09-05,2019-09-05T20:22:35.000Z,2.02,f8-k.htm,https://www.sec.gov/Archives/edgar/data/1535527/000155837019008509,https://www.sec.gov/Archives/edgar/data/1535527/000155837019008509/index.json,NOT_CLASSIFIED
ECHO,0001415404,0001415404-19-000039,8-K,2019-09-10,2019-09-10T13:24:59.000Z,7.01,satsbssclosing.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000039,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000039/index.json,NOT_CLASSIFIED
RHI,0000315213,0000315213-19-000007,8-K,2019-10-23,2019-10-23T20:13:00.000Z,2.02,rhiq320198-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000031521319000007,https://www.sec.gov/Archives/edgar/data/315213/000031521319000007/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-19-000037,8-K,2019-10-24,2019-10-24T22:52:31.000Z,2.02,erie8-k09302019.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262119000037,https://www.sec.gov/Archives/edgar/data/922621/000092262119000037/index.json,NOT_CLASSIFIED
DDOG,0001561550,0001564590-19-042935,8-K,2019-11-12,2019-11-12T21:17:46.000Z,2.02,ddog-8k_20191112.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-19-297610,8-K,2019-11-21,2019-11-21T21:21:53.000Z,2.02,d831387d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312519297610,https://www.sec.gov/Archives/edgar/data/719955/000119312519297610/index.json,NOT_CLASSIFIED
CRWD,0001535527,0001535527-19-000007,8-K,2019-12-05,2019-12-05T21:07:20.000Z,2.02,crwd-20191205.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552719000007,https://www.sec.gov/Archives/edgar/data/1535527/000153552719000007/index.json,NOT_CLASSIFIED
RHI,0000315213,0000315213-20-000002,8-K,2020-01-30,2020-01-30T21:10:29.000Z,2.02,rhi-20200130.htm,https://www.sec.gov/Archives/edgar/data/315213/000031521320000002,https://www.sec.gov/Archives/edgar/data/315213/000031521320000002/index.json,NOT_CLASSIFIED
DDOG,0001561550,0001564590-20-004607,8-K,2020-02-13,2020-02-13T21:24:01.000Z,2.02,ddog-8k_20200213.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-20-077192,8-K,2020-03-18,2020-03-18T20:34:13.000Z,2.02,d861901d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312520077192,https://www.sec.gov/Archives/edgar/data/719955/000119312520077192/index.json,NOT_CLASSIFIED
CRWD,0001535527,0001535527-20-000004,8-K,2020-03-19,2020-03-19T20:07:51.000Z,2.02,crwd-20200319.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000004,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000004/index.json,NOT_CLASSIFIED
RHI,0000315213,0000315213-20-000042,8-K,2020-04-23,2020-04-23T20:12:52.000Z,2.02,rhi-20200423.htm,https://www.sec.gov/Archives/edgar/data/315213/000031521320000042,https://www.sec.gov/Archives/edgar/data/315213/000031521320000042/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-20-000020,8-K,2020-05-07,2020-05-07T20:20:51.000Z,2.02,erie8-k03312020.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262120000020,https://www.sec.gov/Archives/edgar/data/922621/000092262120000020/index.json,NOT_CLASSIFIED
DDOG,0001561550,0001564590-20-024231,8-K,2020-05-11,2020-05-11T20:23:03.000Z,2.02,ddog-8k_20200511.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-20-154284,8-K,2020-05-28,2020-05-28T20:18:13.000Z,2.02,d936337d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312520154284,https://www.sec.gov/Archives/edgar/data/719955/000119312520154284/index.json,NOT_CLASSIFIED
CRWD,0001535527,0001535527-20-000010,8-K,2020-06-02,2020-06-02T20:08:14.000Z,2.02,crwd-20200602.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000010,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000010/index.json,NOT_CLASSIFIED
