ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end,trend_quality,sector_alignment,return_concentration,intraday_return_share,overnight_return_share,capital_gain_overhang_proxy,business_state,business_entity_type,business_deterioration_count,business_unknown,price_business_divergence,market_volatility_percentile,market_drawdown_63d,market_rebound_after_stress,sector_relative_return_63d
NKE,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-12-31,F08,NOISE,102.682663,0.3309959599780373,0.1433254549454988,0.248246969983528,0.4137449499725466,-0.0128026812082191,-0.3005905719449446,29,124,False,False,-0.2943732373789333,0.4297776951346488,2024-07-02,0.0976964884933614,0.349955147162605,0.2734250020322589,0.157898721350815,-0.0263468809776715,0.0403611878390091,PASS,GENERAL,2.0,0.0,0.02018059391950455,0.45362220717670954,-0.0028948546549893983,0.0,-0.003650492770668201
NKE,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2023-12-31,F08,NOISE,102.682663,0.3309959599780373,0.1433254549454988,0.248246969983528,0.4137449499725466,-0.0128026812082191,-0.3005905719449446,29,124,False,False,-0.2943732373789333,0.4297776951346488,2024-07-02,0.0976964884933614,0.349955147162605,0.2734250020322589,0.157898721350815,-0.0263468809776715,0.0403611878390091,PASS,GENERAL,2.0,0.0,0.02018059391950455,0.45362220717670954,-0.0028948546549893983,0.0,-0.003650492770668201
NVDA,PROFIT_RELATIVE_EXTENSION_V2,0.9,2023-08-31,F08,TRADABLE_PULLBACK,49.25904465,0.4124656664110457,0.1786028726504216,0.3093492498082842,0.5155820830138071,0.7273123138006292,-0.1828726684410028,126,39,True,True,0.7273123138006292,0.2237994757709303,2024-03-04,0.9007382734028814,0.703473461791544,0.291760059308682,-0.0156579210199438,0.1304035913968116,0.3433856064001035,PASS,GENERAL,1.0,0.0,0.08584640160002588,0.2629745733194009,-0.016251943587472173,0.0,-0.010872621660206638
NVDA,PROFIT_TREND_DECELERATION_V2,0.8,2023-09-30,F08,CONTINUATION,43.41799927,0.3890319672237862,0.1684557832500169,0.2917739754178396,0.4862899590297328,1.1842987837887078,-0.0729441156490213,121,19,True,True,1.0566924222991725,0.0786836229404754,2024-04-02,0.7484038296812707,0.7288971691748402,0.324181558976451,-0.0796004870688509,0.0953692898965568,0.0959626391097054,PASS,GENERAL,1.0,0.0,0.02399065977742635,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
NVDA,PROFIT_TREND_DECELERATION_V2,0.9,2023-09-30,F08,CONTINUATION,43.41799927,0.3890319672237862,0.1684557832500169,0.2917739754178396,0.4862899590297328,1.1842987837887078,-0.0729441156490213,121,19,True,True,1.0566924222991725,0.0786836229404754,2024-04-02,0.7484038296812707,0.7288971691748402,0.324181558976451,-0.0796004870688509,0.0953692898965568,0.0959626391097054,PASS,GENERAL,1.0,0.0,0.02399065977742635,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
NVDA,PROFIT_RELATIVE_BREAK_V2,0.8,2023-09-30,F08,CONTINUATION,43.41799927,0.3890319672237862,0.1684557832500169,0.2917739754178396,0.4862899590297328,1.1842987837887078,-0.0729441156490213,121,19,True,True,1.0566924222991725,0.0786836229404754,2024-04-02,0.7484038296812707,0.7288971691748402,0.324181558976451,-0.0796004870688509,0.0953692898965568,0.0959626391097054,PASS,GENERAL,1.0,0.0,0.02399065977742635,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
NVDA,PROFIT_RELATIVE_BREAK_V2,0.9,2023-09-30,F08,CONTINUATION,43.41799927,0.3890319672237862,0.1684557832500169,0.2917739754178396,0.4862899590297328,1.1842987837887078,-0.0729441156490213,121,19,True,True,1.0566924222991725,0.0786836229404754,2024-04-02,0.7484038296812707,0.7288971691748402,0.324181558976451,-0.0796004870688509,0.0953692898965568,0.0959626391097054,PASS,GENERAL,1.0,0.0,0.02399065977742635,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
ORCL,PROFIT_TREND_DECELERATION_V2,0.8,2023-09-30,F08,NOISE,102.245842,0.3555118897806412,0.1539411639487243,0.2666339173354809,0.4443898622258015,0.2293763857898496,-0.0494989878414811,118,53,True,True,0.1827658654324544,0.0520767334366876,2024-04-02,0.5616388514060817,0.5560534012785381,0.2670658303383285,-0.0460998826554089,-0.0568706782642526,-0.0481428039532766,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
ORCL,PROFIT_TREND_DECELERATION_V2,0.9,2023-09-30,F08,NOISE,102.245842,0.3555118897806412,0.1539411639487243,0.2666339173354809,0.4443898622258015,0.2293763857898496,-0.0494989878414811,118,53,True,True,0.1827658654324544,0.0520767334366876,2024-04-02,0.5616388514060817,0.5560534012785381,0.2670658303383285,-0.0460998826554089,-0.0568706782642526,-0.0481428039532766,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
ORCL,PROFIT_RELATIVE_BREAK_V2,0.8,2023-09-30,F08,NOISE,102.245842,0.3555118897806412,0.1539411639487243,0.2666339173354809,0.4443898622258015,0.2293763857898496,-0.0494989878414811,118,53,True,True,0.1827658654324544,0.0520767334366876,2024-04-02,0.5616388514060817,0.5560534012785381,0.2670658303383285,-0.0460998826554089,-0.0568706782642526,-0.0481428039532766,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.022859244583971594
