ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end
LLY,PROFIT_RELATIVE_BREAK_V2,0.8,2023-01-31,F07,CONTINUATION,334.9355164,0.2245607922228143,0.09723767537945809,0.16842059416711072,0.28070099027851786,0.3706851110759062,-0.09447901805136838,104,24,True,True,0.3283059837365161,0.10433664148571653,2023-08-02
MA,PROFIT_RELATIVE_BREAK_V2,0.8,2022-08-31,F07,TRADABLE_PULLBACK,316.6509094,0.28407076232488493,0.12300624832288087,0.2130530717436637,0.35508845290610613,0.18268859833566609,-0.12495835326977267,100,29,True,True,0.1180780641711936,0.14280274971677653,2023-03-03
MA,PROFIT_RELATIVE_BREAK_V2,0.9,2022-08-31,F07,TRADABLE_PULLBACK,316.6509094,0.28407076232488493,0.12300624832288087,0.2130530717436637,0.35508845290610613,0.18268859833566609,-0.12495835326977267,100,29,True,True,0.1180780641711936,0.14280274971677653,2023-03-03
MCD,PROFIT_TREND_DECELERATION_V2,0.8,2022-08-31,F07,TRADABLE_PULLBACK,231.1819153,0.1697769476428864,0.07351557481786009,0.1273327107321648,0.212221184553608,0.10353588068919328,-0.08538125343578717,48,21,True,True,0.07875259912253196,0.09335174219479292,2023-03-03
MCD,PROFIT_TREND_DECELERATION_V2,0.8,2022-11-30,F07,NOISE,251.3845215,0.20881601346158088,0.09041998618736118,0.15661201009618567,0.2610200168269761,0.09898100945725874,-0.044466387720693445,104,48,True,True,0.07456908559105524,0.04653566044068769,2023-06-02
MCD,PROFIT_TREND_DECELERATION_V2,0.9,2022-09-30,F07,CONTINUATION,211.4433136,0.1659029138686932,0.07183806898607499,0.12442718540151991,0.2073786423358665,0.2367479053733481,0.010617912961046194,126,5,True,True,0.2367479053733481,-0.010506357372922936,2023-04-03
MCD,PROFIT_TREND_DECELERATION_V2,0.9,2022-12-31,F07,CONTINUATION,242.8511505,0.18847692901959143,0.08161290427912131,0.14135769676469356,0.2355961612744893,0.1449403419647377,-0.010890582954022232,124,27,True,True,0.13914661647855775,0.011010493648465625,2023-07-05
MCD,PROFIT_RELATIVE_BREAK_V2,0.8,2022-11-30,F07,NOISE,251.3845215,0.20881601346158088,0.09041998618736118,0.15661201009618567,0.2610200168269761,0.09898100945725874,-0.044466387720693445,104,48,True,True,0.07456908559105524,0.04653566044068769,2023-06-02
MCD,PROFIT_RELATIVE_BREAK_V2,0.8,2023-01-31,F07,CONTINUATION,246.41745,0.15919357206477472,0.06893283876364183,0.11939517904858105,0.1989919650809684,0.12837008620939794,-0.02520556113213579,104,7,True,True,0.09513243157089724,0.025857309117817362,2023-08-02
MCD,PROFIT_RELATIVE_BREAK_V2,0.9,2023-01-31,F07,CONTINUATION,246.41745,0.15919357206477472,0.06893283876364183,0.11939517904858105,0.1989919650809684,0.12837008620939794,-0.02520556113213579,104,7,True,True,0.09513243157089724,0.025857309117817362,2023-08-02
MCD,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2022-09-30,F07,CONTINUATION,211.4433136,0.1659029138686932,0.07183806898607499,0.12442718540151991,0.2073786423358665,0.2367479053733481,0.010617912961046194,126,5,True,True,0.2367479053733481,-0.010506357372922936,2023-04-03
MCD,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-01-31,F07,CONTINUATION,246.41745,0.15919357206477472,0.06893283876364183,0.11939517904858105,0.1989919650809684,0.12837008620939794,-0.02520556113213579,104,7,True,True,0.09513243157089724,0.025857309117817362,2023-08-02
META,PROFIT_RELATIVE_BREAK_V2,0.8,2022-10-31,F07,CONTINUATION,92.34903717,0.6726463279044047,0.29126440386376595,0.5044847459283035,0.8408079098805059,1.6103473516052031,-0.04562045473462306,124,3,True,True,1.5443325312365026,0.04780116564834569,2023-05-03
META,PROFIT_RELATIVE_BREAK_V2,0.9,2022-10-31,F07,CONTINUATION,92.34903717,0.6726463279044047,0.29126440386376595,0.5044847459283035,0.8408079098805059,1.6103473516052031,-0.04562045473462306,124,3,True,True,1.5443325312365026,0.04780116564834569,2023-05-03
META,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2022-10-31,F07,CONTINUATION,92.34903717,0.6726463279044047,0.29126440386376595,0.5044847459283035,0.8408079098805059,1.6103473516052031,-0.04562045473462306,124,3,True,True,1.5443325312365026,0.04780116564834569,2023-05-03
META,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2022-10-31,F07,CONTINUATION,92.34903717,0.6726463279044047,0.29126440386376595,0.5044847459283035,0.8408079098805059,1.6103473516052031,-0.04562045473462306,124,3,True,True,1.5443325312365026,0.04780116564834569,2023-05-03
MRK,PROFIT_RELATIVE_EXTENSION_V2,0.9,2022-11-30,F07,NOISE,98.3952179,0.2123550043395889,0.09195241418941935,0.15926625325469168,0.2654437554244861,0.08965486014742585,-0.059008248407974806,108,44,True,True,0.03571521030190228,0.0627085713643516,2023-06-02
MRK,PROFIT_TREND_DECELERATION_V2,0.8,2022-12-31,F07,NOISE,99.79366302,0.19393942438607653,0.08397823415683675,0.14545456828955738,0.24242428048259568,0.07438512782632611,-0.0721947101847149,87,23,True,True,0.038805197272134384,0.0778123502605681,2023-07-05
MRK,PROFIT_TREND_DECELERATION_V2,0.9,2023-01-31,F07,NOISE,96.60961914,0.1936488995325956,0.08385243320506415,0.1452366746494467,0.24206112441574448,0.10979453551751162,-0.041616256598359325,67,3,True,True,-0.0024578261679709668,0.04342337491102333,2023-08-02
MRK,PROFIT_RELATIVE_BREAK_V2,0.8,2023-01-31,F07,NOISE,96.60961914,0.1936488995325956,0.08385243320506415,0.1452366746494467,0.24206112441574448,0.10979453551751162,-0.041616256598359325,67,3,True,True,-0.0024578261679709668,0.04342337491102333,2023-08-02
MRK,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2022-11-30,F07,NOISE,98.3952179,0.2123550043395889,0.09195241418941935,0.15926625325469168,0.2654437554244861,0.08965486014742585,-0.059008248407974806,108,44,True,True,0.03571521030190228,0.0627085713643516,2023-06-02
MRK,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-01-31,F07,NOISE,96.60961914,0.1936488995325956,0.08385243320506415,0.1452366746494467,0.24206112441574448,0.10979453551751162,-0.041616256598359325,67,3,True,True,-0.0024578261679709668,0.04342337491102333,2023-08-02
MSFT,PROFIT_RELATIVE_BREAK_V2,0.8,2022-10-31,F07,CONTINUATION,225.0702209,0.34895257982695305,0.15110089942312926,0.2617144348702148,0.4361907247836913,0.3307097762749829,-0.07702599584554826,123,3,True,True,0.31832364101083077,0.0834541335929746,2023-05-03
MSFT,PROFIT_RELATIVE_BREAK_V2,0.8,2023-01-31,F07,CONTINUATION,240.9504395,0.3525636696676392,0.15266454719182035,0.2644227522507294,0.44070458708454896,0.45748039608784374,-0.00372524035176125,115,20,True,True,0.32778352205495764,0.0037391696574511357,2023-08-02
MSFT,PROFIT_RELATIVE_BREAK_V2,0.9,2022-10-31,F07,CONTINUATION,225.0702209,0.34895257982695305,0.15110089942312926,0.2617144348702148,0.4361907247836913,0.3307097762749829,-0.07702599584554826,123,3,True,True,0.31832364101083077,0.0834541335929746,2023-05-03
MSFT,PROFIT_RELATIVE_BREAK_V2,0.9,2023-01-31,F07,CONTINUATION,240.9504395,0.3525636696676392,0.15266454719182035,0.2644227522507294,0.44070458708454896,0.45748039608784374,-0.00372524035176125,115,20,True,True,0.32778352205495764,0.0037391696574511357,2023-08-02
MSFT,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2022-10-31,F07,CONTINUATION,225.0702209,0.34895257982695305,0.15110089942312926,0.2617144348702148,0.4361907247836913,0.3307097762749829,-0.07702599584554826,123,3,True,True,0.31832364101083077,0.0834541335929746,2023-05-03
