ticker,signal_date,action,ratio,regime,signal_price,outcome_end,terminal_return_1m,mae_1m,mfe_1m,terminal_return_3m,mae_3m,mfe_3m,terminal_return_6m,mae_6m,mfe_6m,helpful_6m,forward_terminal_return_6m,forward_drawdown_6m,avoided_drawdown_opportunity_6m,foregone_terminal_upside_6m
AAPL,2019-09-11,SELL,0.01,HEALTHY_DRIFT,53.68643951,2020-03-12,0.02907093009416828,-0.026432652695019487,0.02907093009416828,0.2043741827571981,-0.026432652695019487,0.2143777511610958,0.11617749243434594,-0.026432652695019487,0.47126963737811867,False,,,0.026432652695019487,0.11617749243434594
AAPL,2019-10-10,SELL,0.02,HEALTHY_DRIFT,55.24715424,2020-04-13,0.1339955712079044,0.018601352850423414,0.1339955712079044,0.35278231753498535,0.018601352850423414,0.35278231753498535,0.19397115593405823,-0.019610832537969247,0.4297067328910804,False,,,0.019610832537969247,0.19397115593405823
AAPL,2019-11-08,SELL,0.04,HEALTHY_RUSH,62.65002823,2020-05-12,0.032059578211621975,-0.0026523245829987996,0.04063189629627395,0.23152315824583014,-0.0026523245829987996,0.25013436677903966,0.20317555585561142,-0.13545591150965064,0.26076923860310286,True,,,0.13545591150965064,0.20317555585561142
AAPL,2019-12-10,SELL,0.03,HEALTHY_RUSH,64.65856171,2020-06-11,0.1558774487623844,0.008529394954275737,0.1558774487623844,-0.07323030631638217,-0.07323030631638217,0.2216050945312622,0.25748162779539796,-0.16231184057372683,0.3208982212295486,True,,,0.16231184057372683,0.25748162779539796
AAPL,2020-01-10,SELL,0.03,HEALTHY_RUSH,74.73737335,2020-07-13,0.03234776888235413,-0.005381494852869317,0.04794896929569448,-0.11739594725802593,-0.27527943353925743,0.05686385337758204,0.23691776746125104,-0.27527943353925743,0.24265001855326784,True,,,0.27527943353925743,0.23691776746125104
AAPL,2020-02-11,SELL,0.03,HEALTHY_RUSH,77.15496063,2020-08-11,-0.22333450836212299,-0.22333450836212299,0.023747893136602194,-0.02301832669602144,-0.2979879568632734,0.023747893136602194,0.37503632733044134,-0.2979879568632734,0.4293775591289546,True,,,0.2979879568632734,0.37503632733044134
AAPL,2020-03-20,BUY,0.03,OPPORTUNITY_SCATTER,55.33934784,2020-09-18,0.17069406667586784,-0.021244129826015645,0.25218106889060143,0.5296923293124229,-0.021244129826015645,0.5433390974706505,0.8726637111739408,-0.021244129826015645,1.3518725388000523,True,0.8726637111739408,-0.021244129826015645,,
AAPL,2020-05-08,SELL,0.01,HEALTHY_DRIFT,75.06913757,2020-11-05,0.1091798516048943,-0.007996880335014112,0.1091798516048943,0.435692317625223,-0.007996880335014112,0.4690933300940545,0.5379951673527665,-0.007996880335014112,0.7337496701442392,False,,,0.007996880335014112,0.5379951673527665
AAPL,2020-06-09,SELL,0.04,HEALTHY_RUSH,83.26517487,2020-12-07,0.11343359783662699,-0.02351789260104631,0.11343359783662699,0.3142642391714705,-0.02351789260104631,0.5630915650294606,0.44407710892014607,-0.02351789260104631,0.5630915650294606,False,,,0.02351789260104631,0.44407710892014607
AAPL,2020-07-09,SELL,0.04,HEALTHY_RUSH,92.71024323,2021-01-07,0.16250567731360266,-0.03276680983851621,0.18955107286692408,0.2040155317366219,-0.03276680983851621,0.4038480319495543,0.3721031351888082,-0.03276680983851621,0.432575824124499,False,,,0.03276680983851621,0.3721031351888082
AAPL,2020-08-07,SELL,0.04,HEALTHY_RUSH,107.7761841,2021-02-08,0.01536756579230203,-0.015637131840150142,0.20760531268428917,0.0712568065396928,-0.03845186795771882,0.20760531268428917,0.2361448460300426,-0.03845186795771882,0.290647182970732,False,,,0.03845186795771882,0.2361448460300426
AAPL,2020-09-08,SELL,0.03,HEALTHY_RUSH,109.4324417,2021-03-10,0.0200318211487005,-0.05300487780306917,0.03988634843738481,0.0987722756806586,-0.05300487780306917,0.10264140711391989,0.06689037260145514,-0.05300487780306917,0.2711132662225886,True,,,0.05300487780306917,0.06689037260145514
AAPL,2020-10-07,SELL,0.01,HEALTHY_DRIFT,111.6245728,2021-04-09,0.03432396562775475,-0.05483144747139401,0.08098726358574715,0.13960584313205993,-0.05483144747139401,0.18983168104003711,0.1594417981055869,-0.05483144747139401,0.24615060027356273,True,,,0.05483144747139401,0.1594417981055869
AAPL,2020-11-05,SELL,0.01,HEALTHY_DRIFT,115.4559708,2021-05-10,0.04144750736442626,-0.04186830933476515,0.04144750736442626,0.15392017906795008,-0.04186830933476515,0.20479718317001927,0.07094758498189324,-0.04186830933476515,0.20479718317001927,False,,,0.04186830933476515,0.07094758498189324
AAPL,2020-12-07,SELL,0.02,HEALTHY_DRIFT,120.241333,2021-06-09,0.05793916472965255,-0.015919141548439097,0.10456570786686159,-0.029015933314711306,-0.05831219119967679,0.15684868862856005,0.030595855087534707,-0.05831219119967679,0.15684868862856005,True,,,0.05831219119967679,0.030595855087534707
AAPL,2021-01-07,SELL,0.04,HEALTHY_RUSH,127.2080154,2021-07-09,0.04731587927909775,-0.028872439275552164,0.09349263851497835,0.017405978648732168,-0.10988472665064464,0.09349263851497835,0.11192858056332833,-0.10988472665064464,0.11192858056332833,True,,,0.10988472665064464,0.11192858056332833
AAPL,2021-02-08,SELL,0.03,HEALTHY_RUSH,133.2269745,2021-08-09,-0.12365781075363236,-0.1500985605583951,-0.0065735801873967326,-0.07190496846417549,-0.1500985605583951,-0.0065735801873967326,0.07046518270967694,-0.1500985605583951,0.09125221934691607,True,,,0.1500985605583951,0.07046518270967694
AAPL,2021-06-03,BUY,0.03,OPPORTUNITY_SCATTER,120.4208603,2021-12-01,0.13291251748348443,0.01902209462956317,0.13291251748348443,0.23634829986345807,0.01902209462956317,0.24129324211446446,0.3376858544167036,0.01902209462956317,0.3419883664458425,True,0.3376858544167036,0.01902209462956317,,
AAPL,2021-07-02,SELL,0.01,HEALTHY_DRIFT,136.4263,2021-12-31,0.052871913993123076,0.01471831384417821,0.06566132483252862,0.02074661044094861,0.01251773668273648,0.12121095199386045,0.27247480507790667,-0.004369278504217977,0.2922529380332093,False,,,0.004369278504217977,0.27247480507790667
AAPL,2021-08-03,SELL,0.02,HEALTHY_DRIFT,143.6394196,2022-02-01,0.03649907744405856,-0.010463106187599824,0.040644695698839994,0.01237279853224904,-0.05436671995575226,0.06490726658436041,0.18842853427959705,-0.05436671995575226,0.2387944270139617,True,,,0.05436671995575226,0.18842853427959705
AAPL,2021-09-01,SELL,0.04,HEALTHY_RUSH,148.8821259,2022-03-03,-0.06465143174047072,-0.07219185872734768,0.027407828678781776,0.08196521527504608,-0.08766606683710709,0.08544523140772808,0.0929429205577994,-0.08766606683710709,0.19517176037315043,True,,,0.08766606683710709,0.0929429205577994
AAPL,2021-11-17,SELL,0.01,HEALTHY_DRIFT,150.0575256,2022-05-19,0.1149910977873676,0.02163009210649025,0.16913140609590327,0.10166877361864213,0.02163009210649025,0.18580998712669716,-0.10269682135822178,-0.10269682135822178,0.18580998712669716,True,,,0.10269682135822178,0.0
AAPL,2021-12-17,SELL,0.04,HEALTHY_RUSH,167.3128052,2022-06-21,-0.028690073627431034,-0.028690073627431034,0.06351520606744332,-0.03242550020911383,-0.11878062695944813,0.06351520606744332,-0.2039091249424584,-0.23795113023423276,0.06351520606744332,True,,,0.23795113023423276,0.0
AAPL,2022-01-19,SELL,0.02,HEALTHY_DRIFT,162.5125885,2022-07-21,0.017236213673379464,-0.04217024209173792,0.06180964621088414,0.007297643283800115,-0.09275160367038271,0.07795238213192324,-0.06288594129432612,-0.2154421065048755,0.07795238213192324,True,,,0.2154421065048755,0.0
AAPL,2022-03-07,BUY,0.03,OPPORTUNITY_SCATTER,155.9360199,2022-09-06,0.09893268925225396,-0.05448859478040324,0.12341479545483769,-0.08126359008089556,-0.13652346144048266,0.12341479545483769,-0.02716885298673699,-0.18235354357662426,0.12341479545483769,False,-0.02716885298673699,-0.18235354357662426,,
AAPL,2022-03-29,SELL,0.01,HEALTHY_DRIFT,175.1808319,2022-09-28,-0.08560568549280867,-0.12511189473350126,-0.0029055844436824962,-0.22086177854256428,-0.2721775966175213,-0.0029055844436824962,-0.16032296396464363,-0.2721775966175213,-0.0029055844436824962,True,,,0.2721775966175213,0.0
AAPL,2022-04-26,BUY,0.03,OPPORTUNITY_SCATTER,153.4888,2022-10-25,-0.10250966194276057,-0.12275622260386432,0.05880102717592428,0.0014053031882457212,-0.16931701791922282,0.05880102717592428,-0.025664769677005705,-0.16931701791922282,0.1163856366067102,False,-0.025664769677005705,-0.16931701791922282,,
AAPL,2022-05-26,BUY,0.03,OPPORTUNITY_SCATTER,140.9505463,2022-11-25,-0.04409540199135786,-0.095423625896227,0.05167594302541545,0.1395690418831672,-0.095423625896227,0.2156937039129445,0.03325753551903743,-0.095423625896227,0.2156937039129445,True,0.03325753551903743,-0.095423625896227,,
AAPL,2022-07-29,BUY,0.03,OPPORTUNITY_SCATTER,159.3119507,2023-01-30,-0.005574164374349211,-0.015383690233102043,0.07557964702016551,-0.10774032848497417,-0.14840937416253752,0.07557964702016551,-0.11736998083220385,-0.2283470275780134,0.07557964702016551,False,-0.11736998083220385,-0.2283470275780134,,
AAPL,2022-08-29,BUY,0.03,OPPORTUNITY_SCATTER,158.4239197,2023-03-01,-0.07150812845340804,-0.07150812845340804,0.012703046382205985,-0.10485019453788957,-0.16288436208916746,0.012703046382205985,-0.0967078161493059,-0.22402159640543218,0.012703046382205985,False,-0.0967078161493059,-0.22402159640543218,,
AAPL,2022-09-28,BUY,0.03,OPPORTUNITY_SCATTER,147.0953217,2023-03-30,-0.033635963692242976,-0.07768267384672378,0.016684579574905767,-0.15744080527069548,-0.15744080527069548,0.039375151657185414,0.08701043617215198,-0.1642593463936114,0.08701043617215198,True,0.08701043617215198,-0.1642593463936114,,
AAPL,2023-02-02,BUY,0.03,OPPORTUNITY_SCATTER,148.3029785,2023-08-04,0.02151487200238522,-0.03506261406610933,0.031475687455596146,0.10093573744373585,-0.03506261406610933,0.1267671235611767,0.21018420880872601,-0.03506261406610933,0.3063390921713687,True,0.21018420880872601,-0.03506261406610933,,
AAPL,2023-03-06,BUY,0.03,OPPORTUNITY_SCATTER,151.4936981,2023-09-05,0.07670826737841718,-0.03464866173202208,0.08021843847245824,0.16900743543206187,-0.03464866173202208,0.17792548626153049,0.23655269591705896,-0.03464866173202208,0.27882532890653633,True,0.23655269591705896,-0.03464866173202208,,
AAPL,2023-04-12,BUY,0.03,OPPORTUNITY_SCATTER,157.6684723,2023-10-11,0.08525929758754947,0.02286062994979643,0.08525929758754947,0.19177736144019208,0.02286062994979643,0.21323103794670306,0.1261201894704984,0.02286062994979643,0.22874266157267775,True,0.1261201894704984,0.02286062994979643,,
AAPL,2023-05-26,SELL,0.01,HEALTHY_DRIFT,173.0045929,2023-11-27,0.07877797792268892,0.010374819361226306,0.07877797792268892,0.028520389067659302,-0.006811677541307626,0.11981985595019418,0.08474409409740002,-0.04739562784173923,0.11981985595019418,False,,,0.04739562784173923,0.08474409409740002
AAPL,2023-06-28,SELL,0.02,HEALTHY_DRIFT,186.6335449,2023-12-27,0.0347689061121188,-0.006182214459990121,0.0347689061121188,-0.09822915387382758,-0.09822915387382758,0.038044786663643304,0.023332103574055907,-0.11695975293024619,0.04961092983022475,True,,,0.11695975293024619,0.023332103574055907
AAPL,2023-07-28,SELL,0.02,HEALTHY_DRIFT,193.1225891,2024-01-29,-0.0786227958664002,-0.11027424497179128,0.003165808841157469,-0.14663047772902915,-0.14663047772902915,0.003165808841157469,-0.018322943040949502,-0.14663047772902915,0.01434332209871969,True,,,0.14663047772902915,0.0
AAPL,2023-08-15,BUY,0.03,OPPORTUNITY_SCATTER,175.2329559,2024-02-14,-0.00963621991837893,-0.01944163118462805,0.06903373191343842,0.04279233127973492,-0.05950949264332994,0.06903373191343842,0.04045047841368987,-0.05950949264332994,0.11789821494416719,True,0.04045047841368987,-0.05950949264332994,,
AAPL,2023-09-14,BUY,0.03,OPPORTUNITY_SCATTER,173.5443726,2024-03-15,0.017696636623756534,-0.030215228655590565,0.028280451428478015,0.12792071714804765,-0.050358538678424436,0.12792071714804765,-0.015204507414837476,-0.050358538678424436,0.12877534238180188,False,-0.015204507414837476,-0.050358538678424436,,
AAPL,2023-10-13,BUY,0.03,OPPORTUNITY_SCATTER,176.6155243,2024-04-16,0.03462922256829026,-0.06687176989004928,0.04358705516126582,0.02807897391611114,-0.06687176989004928,0.10914716798765567,-0.05049187117239162,-0.06687176989004928,0.10914716798765567,False,-0.05049187117239162,-0.06687176989004928,,
AAPL,2023-11-13,BUY,0.02,OPPORTUNITY_SCATTER,182.7315826,2024-05-15,0.07121215946826687,0.01428575379722008,0.07121215946826687,-0.0022457519064905673,-0.019588748420329094,0.07202381664262991,0.029327634685521575,-0.10600345011185819,0.07202381664262991,True,0.029327634685521575,-0.10600345011185819,,
AAPL,2024-01-02,BUY,0.03,OPPORTUNITY_SCATTER,183.5621796,2024-07-03,0.006571774766614302,-0.024024992564426917,0.05138990406714461,-0.08496831773291924,-0.08933717084714765,0.05138990406714461,0.19658250723887138,-0.11004867802299734,0.19658250723887138,True,0.19658250723887138,-0.11004867802299734,,
AAPL,2024-02-01,BUY,0.03,OPPORTUNITY_SCATTER,184.7685089,2024-08-02,-0.06173909324653315,-0.06173909324653315,0.013646638786074972,-0.0728308529419539,-0.11585905318739087,0.013646638786074972,0.17970228583686954,-0.11585905318739087,0.25997314902831903,True,0.17970228583686954,-0.11585905318739087,,
AAPL,2024-03-04,BUY,0.03,OPPORTUNITY_SCATTER,173.3610687,2024-09-03,-0.03112497367755318,-0.03575090385907387,0.020388524519980633,0.10961281066445094,-0.057681141302285965,0.10961281066445094,0.2754447936787552,-0.057681141302285965,0.34288143091032985,True,0.2754447936787552,-0.057681141302285965,,
AAPL,2024-04-03,BUY,0.05,NORMAL_FLEE,167.96521,2024-10-02,0.019923475819784153,-0.02740928076713034,0.040672186817734435,0.3076951655643452,-0.02740928076713034,0.3076951655643452,0.34011463504853157,-0.02740928076713034,0.38602130762674003,True,0.34011463504853157,-0.02740928076713034,,
AAPL,2024-05-03,BUY,0.03,OPPORTUNITY_SCATTER,181.5588684,2024-11-01,0.06125858735524048,-0.009106753718894467,0.06125858735524048,0.14273006947205658,-0.009106753718894467,0.28224725154764196,0.2186209148018683,-0.009106753718894467,0.2928064394126837,True,0.2186209148018683,-0.009106753718894467,,
AAPL,2024-06-17,SELL,0.01,HEALTHY_DRIFT,214.8092194,2024-12-16,0.034661039320363685,-0.042368457580270746,0.0837680088883559,0.0017119227984123686,-0.04356857925437807,0.0837680088883559,0.16124558897773267,-0.04356857925437807,0.16124558897773267,False,,,0.04356857925437807,0.16124558897773267
AAPL,2024-07-18,SELL,0.02,HEALTHY_DRIFT,222.2547302,2025-01-17,0.00950871820859911,-0.07560893432899363,0.00950871820859911,0.03509796931197107,-0.07560893432899363,0.044342436226808335,0.028189472477648136,-0.07560893432899363,0.1580207069986581,True,,,0.07560893432899363,0.028189472477648136
AAPL,2024-08-19,SELL,0.01,HEALTHY_DRIFT,224.2092285,2025-02-20,-0.02301981472631487,-0.04236562457106885,0.01726520146337318,-0.0028439931053060308,-0.04236562457106885,0.04688141416088065,0.09066832099643052,-0.04236562457106885,0.14792589726073668,False,,,0.04236562457106885,0.09066832099643052
AAPL,2024-09-23,SELL,0.01,HEALTHY_DRIFT,224.7849579,2025-03-26,0.041462356676669865,-0.02110653063409451,0.0442000941380607,0.12496128193994238,-0.02110653063409451,0.12496128193994238,-0.019660310642165113,-0.07210022704103725,0.1449857775380976,True,,,0.07210022704103725,0.0
AAPL,2024-10-22,SELL,0.02,HEALTHY_DRIFT,234.105072,2025-04-25,-0.028016836815906276,-0.05872127452240772,-0.009285172599763247,-0.054417424582753116,-0.05872127452240772,0.09940198049190507,-0.11074108125260962,-0.2673641714178666,0.09940198049190507,True,,,0.2673641714178666,0.0
AAPL,2024-12-02,SELL,0.01,HEALTHY_DRIFT,238.0689697,2025-06-05,0.017780376860260683,0.012771752252431545,0.08109670959776505,-0.016700457035665472,-0.07074597971009744,0.08109670959776505,-0.1605911335197414,-0.27956270984777576,0.08109670959776505,True,,,0.27956270984777576,0.0
AAPL,2025-01-02,SELL,0.02,HEALTHY_DRIFT,242.3019257,2025-07-08,-0.045314717034458996,-0.08697982254624725,0.004716017822387508,-0.2266265455437938,-0.2266265455437938,0.014441954144155611,-0.13669637830699255,-0.2921485749463031,0.014441954144155611,True,,,0.2921485749463031,0.0
AAPL,2025-01-21,BUY,0.03,OPPORTUNITY_SCATTER,221.2265472,2025-07-23,0.10537322891418355,0.0006289014666680526,0.10537322891418355,-0.10187012899327119,-0.2247143682763224,0.11108382836976283,-0.03581288095970436,-0.2247143682763224,0.11108382836976283,False,-0.03581288095970436,-0.2247143682763224,,
AAPL,2025-03-10,BUY,0.03,OPPORTUNITY_SCATTER,226.2843475,2025-09-09,-0.2420431846263693,-0.2420431846263693,-0.01578156527154395,-0.11326634777511513,-0.2420431846263693,-0.01578156527154395,0.032722285398021134,-0.2420431846263693,0.05665084103972329,True,0.032722285398021134,-0.2420431846263693,,
AAPL,2025-04-09,BUY,0.14,OPPORTUNITY_FLEE,197.8048553,2025-10-09,-0.001609307312084085,-0.04239386129972311,0.07276844381888115,0.06329842956084408,-0.04239386129972311,0.07533336923100276,0.2806728268413743,-0.04239386129972311,0.3009385932904347,True,0.2806728268413743,-0.04239386129972311,,
