issuer_cik,calendar_year,catalogAccessions,reviewSampleAccessions,downloadedAccessions,parsedAccessions,issuerRejectedAccessions,unresolvedSourceAccessions,downloadCoverage,parseCoverage,cellComplete
0000821189,2013,131,2,2,2,0,0,0.015267175572519083,0.015267175572519083,False
0000821189,2014,130,2,2,2,0,0,0.015384615384615385,0.015384615384615385,False
0000821189,2015,144,2,2,2,0,0,0.013888888888888888,0.013888888888888888,False
0000821189,2016,159,2,2,2,0,0,0.012578616352201259,0.012578616352201259,False
0000821189,2017,125,2,2,2,0,0,0.016,0.016,False
0000821189,2018,155,2,2,2,0,0,0.012903225806451613,0.012903225806451613,False
0000821189,2019,112,2,2,2,0,0,0.017857142857142856,0.017857142857142856,False
0000821189,2020,109,2,2,2,0,0,0.01834862385321101,0.01834862385321101,False
0000821189,2021,125,2,2,2,0,0,0.016,0.016,False
0000821189,2022,160,2,2,2,0,0,0.0125,0.0125,False
0000821189,2023,126,2,2,2,0,0,0.015873015873015872,0.015873015873015872,False
0000821189,2024,103,2,2,2,0,0,0.019417475728155338,0.019417475728155338,False
0000821189,2025,80,2,2,2,0,0,0.025,0.025,False
0000821189,2026,50,2,2,2,0,0,0.04,0.04,False
0000831259,2012,53,2,2,2,0,0,0.03773584905660377,0.03773584905660377,False
0000831259,2013,74,2,2,2,0,0,0.02702702702702703,0.02702702702702703,False
0000831259,2014,55,2,2,2,0,0,0.03636363636363636,0.03636363636363636,False
0000831259,2015,46,2,2,2,0,0,0.043478260869565216,0.043478260869565216,False
0000831259,2016,32,2,2,2,0,0,0.0625,0.0625,False
0000831259,2017,31,2,2,2,0,0,0.06451612903225806,0.06451612903225806,False
0000831259,2018,24,2,2,2,0,0,0.08333333333333333,0.08333333333333333,False
0000831259,2019,23,2,2,2,0,0,0.08695652173913043,0.08695652173913043,False
0000831259,2020,29,2,2,2,0,0,0.06896551724137931,0.06896551724137931,False
0000831259,2021,37,2,2,2,0,0,0.05405405405405406,0.05405405405405406,False
0000831259,2022,35,2,2,2,0,0,0.05714285714285714,0.05714285714285714,False
0000831259,2023,37,2,2,2,0,0,0.05405405405405406,0.05405405405405406,False
0000831259,2024,42,2,2,2,0,0,0.047619047619047616,0.047619047619047616,False
0000831259,2025,36,2,2,2,0,0,0.05555555555555555,0.05555555555555555,False
0000831259,2026,29,2,2,2,0,0,0.06896551724137931,0.06896551724137931,False
0000886982,2012,109,2,2,0,2,0,0.01834862385321101,0.0,False
0000886982,2013,60,2,2,1,1,0,0.03333333333333333,0.016666666666666666,False
0000886982,2014,82,2,2,2,0,0,0.024390243902439025,0.024390243902439025,False
0000886982,2015,105,2,2,0,2,0,0.01904761904761905,0.0,False
0000886982,2016,103,2,2,1,1,0,0.019417475728155338,0.009708737864077669,False
0000886982,2017,95,2,2,2,0,0,0.021052631578947368,0.021052631578947368,False
0000886982,2018,46,2,2,2,0,0,0.043478260869565216,0.043478260869565216,False
0000886982,2019,47,2,2,0,2,0,0.0425531914893617,0.0,False
0000886982,2020,52,2,2,2,0,0,0.038461538461538464,0.038461538461538464,False
0000886982,2021,95,2,2,0,2,0,0.021052631578947368,0.0,False
0000886982,2022,101,2,2,2,0,0,0.019801980198019802,0.019801980198019802,False
0000886982,2023,60,2,2,2,0,0,0.03333333333333333,0.03333333333333333,False
0000886982,2024,60,2,2,1,1,0,0.03333333333333333,0.016666666666666666,False
0000886982,2025,54,2,2,2,0,0,0.037037037037037035,0.037037037037037035,False
0000886982,2026,58,2,2,2,0,0,0.034482758620689655,0.034482758620689655,False
0000909832,2012,115,2,2,2,0,0,0.017391304347826087,0.017391304347826087,False
0000909832,2013,85,2,2,2,0,0,0.023529411764705882,0.023529411764705882,False
0000909832,2014,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000909832,2015,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000909832,2016,61,2,2,2,0,0,0.03278688524590164,0.03278688524590164,False
0000909832,2017,109,2,2,2,0,0,0.01834862385321101,0.01834862385321101,False
0000909832,2018,79,2,2,2,0,0,0.02531645569620253,0.02531645569620253,False
0000909832,2019,56,2,2,2,0,0,0.03571428571428571,0.03571428571428571,False
0000909832,2020,63,2,2,2,0,0,0.031746031746031744,0.031746031746031744,False
0000909832,2021,42,2,2,2,0,0,0.047619047619047616,0.047619047619047616,False
0000909832,2022,44,2,2,2,0,0,0.045454545454545456,0.045454545454545456,False
0000909832,2023,46,2,2,2,0,0,0.043478260869565216,0.043478260869565216,False
0000909832,2024,77,2,2,2,0,0,0.025974025974025976,0.025974025974025976,False
0000909832,2025,46,2,2,2,0,0,0.043478260869565216,0.043478260869565216,False
0000909832,2026,13,2,2,2,0,0,0.15384615384615385,0.15384615384615385,False
0001018724,2012,82,2,2,2,0,0,0.024390243902439025,0.024390243902439025,False
0001018724,2013,73,2,2,2,0,0,0.0273972602739726,0.0273972602739726,False
0001018724,2014,56,2,2,2,0,0,0.03571428571428571,0.03571428571428571,False
0001018724,2015,64,2,2,2,0,0,0.03125,0.03125,False
0001018724,2016,61,2,2,2,0,0,0.03278688524590164,0.03278688524590164,False
0001018724,2017,59,2,2,2,0,0,0.03389830508474576,0.03389830508474576,False
0001018724,2018,78,2,2,2,0,0,0.02564102564102564,0.02564102564102564,False
0001018724,2019,71,2,2,2,0,0,0.028169014084507043,0.028169014084507043,False
0001018724,2020,97,2,2,2,0,0,0.020618556701030927,0.020618556701030927,False
0001018724,2021,102,2,2,1,1,0,0.0196078431372549,0.00980392156862745,False
0001018724,2022,66,2,2,2,0,0,0.030303030303030304,0.030303030303030304,False
0001018724,2023,83,2,2,2,0,0,0.024096385542168676,0.024096385542168676,False
0001018724,2024,97,2,2,2,0,0,0.020618556701030927,0.020618556701030927,False
0001018724,2025,74,2,2,2,0,0,0.02702702702702703,0.02702702702702703,False
0001018724,2026,37,2,2,2,0,0,0.05405405405405406,0.05405405405405406,False
0001045609,2012,81,2,2,2,0,0,0.024691358024691357,0.024691358024691357,False
0001045609,2013,89,2,2,2,0,0,0.02247191011235955,0.02247191011235955,False
0001045609,2014,106,2,2,2,0,0,0.018867924528301886,0.018867924528301886,False
0001045609,2015,81,2,2,2,0,0,0.024691358024691357,0.024691358024691357,False
