ticker,signal_date,fold_id,business_state,business_month_end,common_return_63d,residual_return_63d,systematic_fraction,group,FORWARD_TOTAL_RETURN,FORWARD_TROUGH_RETURN,outcome_end
NEM,2018-07-31,F01,PASS,2018-06-30,0.02509476440037912,-0.08841177690840181,0.0,HEALTHY_FIRM_SPECIFIC,-0.0617630101790847,-0.19220281699741604,2019-01-31
NEM,2019-04-30,F01,PASS,2019-03-31,-0.026557405710760023,-0.02156421211914508,0.5518809821530141,EXCLUDED_UNKNOWN_OR_MIDDLE,0.2605474966968391,-0.03638084974894662,2019-10-28
NEM,2020-02-28,F02,PASS,2020-01-31,-0.036464846152459214,0.19716869399115214,1.0,HEALTHY_SYSTEMATIC,0.4613872995012409,-0.1124464077411721,2020-08-27
NEM,2020-10-30,F02,PASS,2020-09-30,0.04088429646454697,-0.11819518800308042,0.0,HEALTHY_FIRM_SPECIFIC,0.03564562459188947,-0.12881792909765621,2021-05-04
NEM,2021-06-30,F02,PASS,2021-05-31,0.047376593603376094,0.010402728936429514,,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.024924251040134404,-0.15150663523079178,2021-12-29
NEM,2022-04-29,F03,VETO,2022-03-31,0.07901922448216582,0.12448673267467845,,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.3989338745395026,-0.4352558722825023,2022-10-28
NEM,2023-02-28,F03,VETO,2023-01-31,0.005603619300959053,-0.04395128664739837,0.0,DAMAGED_FIRM_SPECIFIC,-0.0760275745404384,-0.10688904015225342,2023-08-29
NEM,2024-10-31,F04,PASS,2024-09-30,0.03585179710922135,-0.09637320015738074,0.0,HEALTHY_FIRM_SPECIFIC,0.21613566891501068,-0.18089248536095415,2025-05-06
NFLX,2018-03-29,F01,PASS,2018-02-28,,,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.2890130131488726,-0.05099036829688686,2018-09-27
NFLX,2018-09-28,F01,PASS,2018-08-31,,,,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.0171330519028009,-0.3748696545255761,2019-04-02
NFLX,2019-05-31,F01,PASS,2019-04-30,0.009428168135020079,-0.04951344855340057,0.0,HEALTHY_FIRM_SPECIFIC,-0.07967253469204605,-0.25836051357320133,2019-11-27
NFLX,2020-07-31,F02,PASS,2020-06-30,0.14863574881954958,0.01455240034497017,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.10260184073239031,-0.04489853702339475,2021-02-01
NFLX,2021-03-31,F02,PASS,2021-02-28,0.08459093667555279,-0.10209209899373146,0.0,HEALTHY_FIRM_SPECIFIC,0.14837246108772373,-0.07031398313046466,2021-09-29
NFLX,2023-02-28,F03,PASS,2023-01-31,0.1335083416494196,-0.012935266197659414,0.0,HEALTHY_FIRM_SPECIFIC,0.3348337280432696,-0.09117443473231157,2023-08-29
NFLX,2024-04-30,F04,PASS,2024-03-31,0.014713430932447293,-0.036645367869905084,0.0,HEALTHY_FIRM_SPECIFIC,0.3791951433048817,0.0019432342654628343,2024-10-29
NFLX,2025-03-31,F04,PASS,2025-02-28,-0.06986934971541735,0.07890706348945208,1.0,HEALTHY_SYSTEMATIC,0.2856637365161996,-0.08221719350217538,2025-09-30
NKE,2018-10-31,F01,PASS,2018-09-30,-0.05197145227429403,0.007445712866252436,1.0,HEALTHY_SYSTEMATIC,0.1198515599886969,-0.0974090493784584,2019-05-06
NKE,2019-05-31,F01,PASS,2019-04-30,-0.0038064365777840496,-0.11553784036807765,0.03189458828855923,HEALTHY_FIRM_SPECIFIC,0.22353092363836646,0.01062982842407445,2019-11-27
NKE,2020-02-28,F02,PASS,2020-01-31,-0.05916095477638621,0.02129241010356514,1.0,HEALTHY_SYSTEMATIC,0.24319210037413508,-0.29738171721336504,2020-08-27
NKE,2022-03-31,F03,PASS,2022-02-28,-0.07127196743509638,-0.14536215952090134,0.32899695184947936,HEALTHY_FIRM_SPECIFIC,-0.3789737931874375,-0.3789737931874375,2022-09-30
NKE,2023-05-31,F03,VETO,2023-04-30,0.07195334012558258,-0.18826034725071145,0.0,DAMAGED_FIRM_SPECIFIC,0.05552639430575956,-0.1448295074932432,2023-11-29
NVDA,2018-10-31,F01,PASS,2018-09-30,-0.06431448444307174,-0.10802458359539863,0.37318575048064634,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.14520923809520436,-0.39663628135852036,2019-05-06
NVDA,2020-02-28,F02,PASS,2020-01-31,0.04084162633534487,0.17927753636256782,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.8712209387690735,-0.2727811623360038,2020-08-27
NVDA,2020-10-30,F02,PASS,2020-09-30,-0.030959592380711595,0.16087682874187492,1.0,HEALTHY_SYSTEMATIC,0.14571910818576161,-0.07478257773813946,2021-05-04
NVDA,2024-07-31,F04,PASS,2024-06-30,0.16916438726883926,0.13425167353439466,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.02622249569070423,-0.15475987907991318,2025-01-31
ORCL,2018-12-31,F01,PASS,2018-11-30,-0.144756897187282,0.016018978480787892,1.0,HEALTHY_SYSTEMATIC,0.3057431700182005,-0.00819490123363864,2019-07-02
ORCL,2024-04-30,F04,PASS,2024-03-31,-0.0393449575675173,0.03896902357449923,1.0,HEALTHY_SYSTEMATIC,0.5324019696482456,0.007736139573218503,2024-10-29
ORCL,2024-12-31,F04,PASS,2024-11-30,0.048136993424050506,-0.04900682533285879,0.0,HEALTHY_FIRM_SPECIFIC,0.40222786839488633,-0.2584963335931456,2025-07-07
PEP,2018-04-30,F01,PASS,2018-03-31,-0.12490768913337026,-0.03794053019103314,0.7670190662910883,HEALTHY_SYSTEMATIC,0.11341183753250172,-0.04735492895161586,2018-10-26
