ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf,issuerCik,purchaseSupport90d,purchaseSupportOwnerCount90d,purchaseSupportEventCount90d,latestPurchaseSupportFilingDate,adversePath,foldId
ISRG,ISRG-V61-007,2025-01-22,2025-01-22,HEALTHY_RUSH,-0.0304932049201409,-0.0404782720284385,-0.3055178939992258,0.0203434296172037,STRUCTURAL_BREAK,-0.2602506715127231,-0.0029323270771161,-0.1995905059628073,False,False,51,1,2025-07-24,XLV,0001035267,0,0,0,,1,OOS_2024_2026Q2
IT,IT-V61-001,2017-06-20,2017-06-20,HEALTHY_RUSH,-0.0328284818088224,0.2171095745523308,-0.1099494274449803,-0.0088022373048147,TEMPORARY_PULLBACK,-0.0569151973292293,0.0531750631081193,0.0117082886786519,False,True,109,25,2017-12-18,XLK,0000749251,0,0,0,,0,OOS_2016_2018
IT,IT-V61-002,2018-09-13,2018-09-13,HEALTHY_RUSH,-0.0155402274960807,0.0544742062510749,-0.6247601616287618,-0.0086500529076723,LARGE_PULLBACK,-0.2208433852727356,0.0130429123002215,-0.0679371630806052,False,False,70,8,2019-03-18,XLK,0000749251,0,0,0,,1,OOS_2016_2018
IT,IT-V61-003,2021-04-16,2021-04-16,HEALTHY_RUSH,0.0581762047945253,-0.040302290242573,-0.1537442417906848,-0.0136482467237871,CONTINUATION,-0.0028648974493126,0.6912699743330604,0.6163663118573557,True,True,2,112,2021-10-14,XLK,0000749251,0,0,0,,0,OOS_2019_2021
IT,IT-V61-004,2022-12-08,2022-12-08,HEALTHY_RUSH,0.0157768841999046,0.203042414007169,-0.1033328926122654,-0.5114921507137198,LARGE_PULLBACK,-0.1500576830697224,0.0187356259072957,0.0171478132349931,False,True,94,40,2023-06-12,XLK,0000749251,0,0,0,,1,OOS_2022_2023
IT,IT-V61-005,2023-12-06,2023-12-06,HEALTHY_RUSH,0.0,0.2286938761662877,-0.7463861911450683,-0.0386055055205747,TEMPORARY_PULLBACK,-0.0665384699095023,0.0930090167420816,-0.0171040669683257,False,True,99,72,2024-06-07,XLK,0000749251,0,0,0,,0,OOS_2022_2023
IT,IT-V61-006,2024-02-07,2024-02-07,HEALTHY_RUSH,-0.0059801528045098,0.1682538101744843,-0.3494233983512423,-0.0621429003368653,TEMPORARY_PULLBACK,-0.0830314810245936,0.113879295056501,0.0645627003274476,True,True,57,120,2024-08-08,XLK,0000749251,0,0,0,,0,OOS_2024_2026Q2
ITW,ITW-V61-001,2016-04-18,2016-04-18,NORMAL_RUSH,-0.0175191842710045,0.0640742383471495,-0.060910858212196,-0.0235870196900818,TEMPORARY_PULLBACK,-0.0626782321314431,0.1566828059472662,0.1128153944851249,True,True,49,97,2016-10-14,XLI,0000049826,0,0,0,,0,OOS_2016_2018
ITW,ITW-V61-002,2016-07-25,2016-07-25,NORMAL_RUSH,-0.0296126499391555,0.0520029580436895,-0.1909142067130963,0.0026320156582978,CONTINUATION,-0.0205187751687148,0.120395635239511,0.1185831142324029,True,True,65,95,2017-01-24,XLI,0000049826,0,0,0,,0,OOS_2016_2018
ITW,ITW-V61-003,2017-06-23,2017-06-23,HEALTHY_RUSH,0.009236874651969,0.0549494762655828,-0.2682323045832021,-0.0040605966885276,TEMPORARY_PULLBACK,-0.0655621323457449,0.1725139104483717,0.165655772704893,True,True,40,111,2017-12-21,XLI,0000049826,0,0,0,,0,OOS_2016_2018
ITW,ITW-V61-005,2021-05-13,2021-05-13,HEALTHY_RUSH,-0.0317002916848914,0.2840755378559344,-0.3617746505077218,-0.0362015356560906,LARGE_PULLBACK,-0.1221875512030968,0.0023114013278366,-0.0028972468857679,False,True,97,1,2021-11-10,XLI,0000049826,0,0,0,,1,OOS_2019_2021
IVZ,IVZ-V61-001,2017-07-05,2017-07-05,HEALTHY_RUSH,0.026193639425194,0.3565488534621578,-0.2197046850359366,0.0157109616150134,TEMPORARY_PULLBACK,-0.0996442289027915,0.0791592926425439,0.0465004118968959,True,True,46,110,2018-01-03,XLF,0000914208,0,0,0,,0,OOS_2016_2018
IVZ,IVZ-V61-002,2021-01-19,2021-01-19,NORMAL_RUSH,-0.0254523479289345,0.0695923259919623,0.1972706178356146,-0.0200244010391085,CONTINUATION,0.016790173751054,0.4671904907214685,0.257091683665728,True,True,8,94,2021-07-20,XLF,0000914208,0,0,0,,0,OOS_2019_2021
IVZ,IVZ-V61-003,2025-08-05,2025-08-05,HEALTHY_RUSH,0.0235407066907289,0.0698667102677381,0.1397679453996727,-0.1220336501303527,CONTINUATION,-0.0340104038107932,0.4167582322907068,0.2916369230490596,True,True,4,114,2026-02-04,XLF,0000914208,0,0,0,,0,OOS_2024_2026Q2
J,J-V61-001,2016-05-24,2016-05-24,NORMAL_RUSH,-0.0273376925386126,0.2395963328416483,-0.3895591041227292,-0.1187416310439673,CONTINUATION,-0.0275507797330133,0.2079593117777529,0.1836736028698931,True,True,23,122,2016-11-21,XLI,0000052988,0,0,0,,0,OOS_2016_2018
J,J-V61-002,2016-11-14,2016-11-14,NORMAL_RUSH,-0.0695705839271516,-0.2954855076363324,-0.168388544309765,0.0332044761666102,LARGE_PULLBACK,-0.1131937938001077,0.0603787236853392,-0.1131937938001077,False,False,126,8,2017-05-17,XLI,0000052988,0,0,0,,1,OOS_2016_2018
J,J-V61-003,2017-11-22,2017-11-22,HEALTHY_RUSH,0.0032632764075126,0.2731649843174706,0.3301570620742682,0.0011669121251342,LARGE_PULLBACK,-0.1401476865674512,0.0967890298133993,-0.0177536827793428,False,True,82,44,2018-05-25,XLI,0000052988,0,0,0,,1,OOS_2016_2018
J,J-V61-004,2018-08-29,2018-08-29,HEALTHY_RUSH,-0.010536563293882,0.5252476676938569,0.3961911243820429,-0.0144396464096889,LARGE_PULLBACK,-0.2483996820797388,0.1010050643340974,0.004447784102588,False,True,80,49,2019-03-04,XLI,0000052988,0,0,0,,1,OOS_2016_2018
J,J-V61-005,2019-06-25,2019-06-25,HEALTHY_RUSH,-0.0043192827643707,-0.0094579593203223,-0.2852516769665591,-0.0217462495332862,CONTINUATION,-0.0302664474950079,0.1869847510926141,0.1024700826974065,True,True,27,93,2019-12-23,XLI,0000052988,0,0,0,,0,OOS_2019_2021
J,J-V61-006,2020-01-24,2020-01-24,HEALTHY_RUSH,-0.0730639861490816,-0.1114779170374398,-0.6344944115298654,-0.0373703580972927,STRUCTURAL_BREAK,-0.3491072410782089,0.0728727903971797,-0.1288045249103696,False,False,40,19,2020-07-24,XLI,0000052988,0,0,0,,1,OOS_2019_2021
J,J-V61-007,2020-12-11,2020-12-11,HEALTHY_RUSH,-0.0170678971451401,0.0985748932457798,-0.0463879238745767,-0.0107894115221736,TEMPORARY_PULLBACK,-0.0707774042765178,0.324132212616133,0.280179317683711,True,True,32,119,2021-06-15,XLI,0000052988,0,0,0,,0,OOS_2019_2021
J,J-V61-008,2021-11-11,2021-11-11,HEALTHY_RUSH,-0.0015115605427451,0.0,-0.3517031311831432,-0.045828519128198,LARGE_PULLBACK,-0.187344445645028,0.0266291428625526,-0.0778630809205249,True,True,70,110,2022-05-13,XLI,0000052988,0,0,0,,1,OOS_2019_2021
