fold_id,family,rows,candidate_brier,candidate_log_loss,candidate_balanced_accuracy,candidate_action_rate,baseline_brier,baseline_log_loss,baseline_balanced_accuracy,baseline_action_rate,universe_role
F02,RELATIVE_POSITION,244,0.23075277103986924,0.6542663889628716,0.48872412727834413,0.9590163934426229,0.24318688524590162,0.679513890351483,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F03,RELATIVE_POSITION,118,0.21235016993764982,0.6158084779999611,0.488265306122449,0.8305084745762712,0.1942722538019536,0.5803273211061543,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F04,RELATIVE_POSITION,93,0.16633248032427533,0.5186417489518573,0.5,1.0,0.17945365650652698,0.5485700763396649,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F05,RELATIVE_POSITION,270,0.2505936963542077,0.6961533741284025,0.5,1.0,0.2506172839506173,0.6955600392314006,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F06,RELATIVE_POSITION,107,0.18346502197155362,0.5559156018274762,0.5,1.0,0.18622945307747607,0.5625411111021771,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F07,RELATIVE_POSITION,116,0.1763772533913173,0.5421980135878776,0.5,1.0,0.1605336114439764,0.5087747418942723,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F08,RELATIVE_POSITION,156,0.26719182592486523,0.7325017620841896,0.5,1.0,0.2610965731379275,0.717836290937322,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F09,RELATIVE_POSITION,146,0.19012720151665793,0.5698429539869437,0.5,1.0,0.18928809349340697,0.5681211102862354,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F01,PARTICIPATION,250,0.25,0.6931471805599454,0.5,1.0,0.25,0.6931471805599454,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F02,PARTICIPATION,244,0.24787249244352977,0.6888933398699234,0.4477911646586345,0.7622950819672131,0.24318688524590162,0.679513890351483,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F03,PARTICIPATION,118,0.19548665829878853,0.5828080636717686,0.5,1.0,0.1942722538019536,0.5803273211061543,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F04,PARTICIPATION,93,0.1793706934497703,0.5483892099170349,0.5,1.0,0.17945365650652698,0.5485700763396649,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F05,PARTICIPATION,270,0.2503750559205031,0.6951091069946455,0.5,1.0,0.2506172839506173,0.6955600392314006,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F06,PARTICIPATION,107,0.18873304002177124,0.5678235726811777,0.5,1.0,0.18622945307747607,0.5625411111021771,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F07,PARTICIPATION,116,0.16445879805707392,0.5173680657303052,0.5,1.0,0.1605336114439764,0.5087747418942723,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F08,PARTICIPATION,156,0.2611833208501675,0.7180352953184008,0.5,1.0,0.2610965731379275,0.717836290937322,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F09,PARTICIPATION,146,0.18898531719865166,0.5674395346091122,0.5,1.0,0.18928809349340697,0.5681211102862354,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F01,DOWNSIDE_RISK_CONTEXT,250,0.25,0.6931471805599454,0.5,1.0,0.25,0.6931471805599454,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F02,DOWNSIDE_RISK_CONTEXT,244,0.24319133734399886,0.6795215194295342,0.5,1.0,0.24318688524590162,0.679513890351483,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F03,DOWNSIDE_RISK_CONTEXT,118,0.19690423077391916,0.5857658860714622,0.5,1.0,0.1942722538019536,0.5803273211061543,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F04,DOWNSIDE_RISK_CONTEXT,93,0.17951334988189493,0.548686928151958,0.5,1.0,0.17945365650652698,0.5485700763396649,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F05,DOWNSIDE_RISK_CONTEXT,270,0.2502673159406038,0.6947783753961164,0.5,1.0,0.2506172839506173,0.6955600392314006,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F06,DOWNSIDE_RISK_CONTEXT,107,0.18350485430101582,0.5565474941041865,0.5,1.0,0.18622945307747607,0.5625411111021771,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F07,DOWNSIDE_RISK_CONTEXT,116,0.1585279050007412,0.5040587290199994,0.5,1.0,0.1605336114439764,0.5087747418942723,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F08,DOWNSIDE_RISK_CONTEXT,156,0.2648058207297095,0.7265221698963158,0.5,1.0,0.2610965731379275,0.717836290937322,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F09,DOWNSIDE_RISK_CONTEXT,146,0.1897187623482644,0.5689991217376479,0.5,1.0,0.18928809349340697,0.5681211102862354,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
