queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,collection_status,source_sha256,extracted_symbols,adjudication_status
IDENTITY-0001193125-09-185794,P2_LONG_HISTORY,SEC8K-0001193125-09-185794,0000313616,0001193125-09-185794,2009-09-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/313616/000119312509185794/d8k.htm,PENDING,,,PENDING
IDENTITY-0001104659-09-055056,P2_LONG_HISTORY,SEC8K-0001104659-09-055056,0001001250,0001104659-09-055056,2009-09-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465909055056/a09-26655_28ka.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-196196,P2_LONG_HISTORY,SEC8K-0001193125-09-196196,0001048286,0001193125-09-196196,2009-09-23,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1048286/000119312509196196/d8k.htm,PENDING,,,PENDING
IDENTITY-0000723125-09-000077,P2_LONG_HISTORY,SEC8K-0000723125-09-000077,0000723125,0000723125-09-000077,2009-09-29,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/723125/000072312509000077/fy098-k.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-046985,P2_LONG_HISTORY,SEC8K-0000950123-09-046985,0000898293,0000950123-09-046985,2009-09-29,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/898293/000095012309046985/g20668e8vkza.htm,PENDING,,,PENDING
IDENTITY-0001104659-09-057311,P2_LONG_HISTORY,SEC8K-0001104659-09-057311,0001137789,0001104659-09-057311,2009-10-01,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1137789/000110465909057311/a09-29304_18k.htm,PENDING,,,PENDING
IDENTITY-0001299933-09-004053,P2_LONG_HISTORY,SEC8K-0001299933-09-004053,0000059478,0001299933-09-004053,2009-10-14,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/59478/000129993309004053/htm_34649.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-051436,P2_LONG_HISTORY,SEC8K-0000950123-09-051436,0000789570,0000950123-09-051436,2009-10-20,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/789570/000095012309051436/p16129e8vk.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-229376,P2_LONG_HISTORY,SEC8K-0001193125-09-229376,0000712515,0001193125-09-229376,2009-11-09,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/712515/000119312509229376/d8k.htm,PENDING,,,PENDING
IDENTITY-0001104659-09-064037,P2_LONG_HISTORY,SEC8K-0001104659-09-064037,0000796343,0001104659-09-064037,2009-11-10,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/796343/000110465909064037/a09-33303_18k.htm,PENDING,,,PENDING
