family,measurement,direction,fold_id,ticker,signal_date,threshold,measurement_value,execution_date,terminal_return,trim_uplift,drawdown_relief
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,SO,2021-07-31,-0.0704518290557,-0.166220926347,2021-08-02,-0.0175999506087,0.000804997530434,0.00125426321592
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,TMUS,2021-08-31,-0.0704518290557,-0.649039372435,2021-09-01,-0.22520712647,0.0111853563235,0.0111853563235
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,TSLA,2020-07-31,-0.0704518290557,-0.367440450697,2020-08-03,0.306531963636,-0.0154015981818,0.00364924270202
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,TSLA,2021-10-31,-0.0704518290557,-0.412649062868,2021-11-01,-0.229474057561,0.011398702878,0.0156247001611
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,UNP,2020-07-31,-0.0704518290557,-0.215457549378,2020-08-03,0.0349786662697,-0.00182393331349,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,UNP,2021-10-31,-0.0704518290557,-0.168023422443,2021-11-01,0.0351952265868,-0.00183476132934,0.0012216681172
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,V,2020-07-31,-0.0704518290557,-0.237272603737,2020-08-03,-0.0456514866382,0.00220757433191,0.00242815846567
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,XOM,2020-08-31,-0.0704518290557,-0.416123054548,2020-09-01,-2.89958262539e-05,-7.35502086873e-05,0.0098920474015
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,XOM,2021-11-30,-0.0704518290557,-0.460381014924,2021-12-01,0.370436680235,-0.0185968340118,0.000451847132712
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F03,AAPL,2022-02-28,-0.0968331540208,-0.252173584082,2022-03-01,-0.0866503604239,0.00425751802119,0.00778290042931
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F03,ABBV,2023-05-31,-0.0968331540208,-0.112772906065,2023-06-01,0.113528570863,-0.00575142854316,0.000273469134082
