ticker,cik,company_name,exchange,selection_priority,cik_link_status,eligible_filings,issuer_priority
VVX,0001601548,"V2X, Inc.",NYSE,0152cb43c4281ead9938982ec8ddd498ed023d939a5d4611c0ebb6d45338ea30,UNIQUE_CIK_NAME_CANDIDATE,73,8326c1b3f9b270e3a73186ae00797230536b174f83be3281961b5071c7e5ae8d
KINS,0000033992,"KINGSTONE COMPANIES, INC.",Nasdaq,03d3dd3055529c6c4787ba59a96b91b22b194e92d255129913c7dd000953b7ee,UNIQUE_CIK_NAME_CANDIDATE,170,84be6b87ee6f68f1654bf19a99f6de40dcadc0e5b11104e3ed4dd8a45c721683
PI,0001114995,IMPINJ INC,Nasdaq,05342516153682a048f912347f5f97fd1180df97cb77db3bcd7d561752ce5a98,UNIQUE_CIK_NAME_CANDIDATE,51,84c0ec25918ec855a733f62256516cbb1a7b7328454606a3aaff8b1dc23e3fdb
TBRG,0001169445,"TruBridge, Inc.",Nasdaq,02cf89252d4986f2ab7430073fcee401341cd3ccd1dd9cf38abe9a4567cf8a87,UNIQUE_CIK_NAME_CANDIDATE,84,89b2be14f2c2ae03118815ff07a4315902401bb91d8a1d11d7f5f6058494ebef
GTES,0001718512,Gates Industrial Corp plc,NYSE,03744a0a7419edee2bb8e3f9a3cf56596b95d4c2bd465742ff9d8db9073941c7,UNIQUE_CIK_NAME_CANDIDATE,43,8e34eb243552befeb8a4128a2c53a1784b713f0709e82b39d291a878413e5f4d
CYCU,0001868419,"Cycurion, Inc.",Nasdaq,05589dca1cbce628dcb01180b4aca11b8a23881ceff4cd58e208752caab341f3,UNIQUE_CIK_NAME_CANDIDATE,9,93790439c3162d5d343aeb8bd7a0b5484170c1ad12822babeb1eeb836df4856a
XPON,0001894954,Expion360 Inc.,Nasdaq,0288c8396cbbaae602de7397ab0657515652840fe9998e15460b4c7ed563d52d,UNIQUE_CIK_NAME_CANDIDATE,27,981fc2efac2aa065e3aa0d5faeb3e3b3b9e07b4162d7f6fe9e99bbd2f64b3bde
BPOP,0000763901,"POPULAR, INC.",Nasdaq,04ad46d20b471498337bf9dca288af557ce3662e0628158cccb24be10b1f84e5,UNIQUE_CIK_NAME_CANDIDATE,128,9ed0f099747d66f4510b6d9c895b5c7afa7e9700b75bbd5dbca0cd865fa4baec
BCTXZ,0001610820,BriaCell Therapeutics Corp.,Nasdaq,013c7877814831d2a2acabf062c2ce8bf804e71d690bf1d63c42b8b2438e26f7,UNIQUE_CIK_NAME_CANDIDATE,31,ac2ef484f96e843bf9bce0485466b2e8d6876743b5c80c2f34e97a38350b7cc2
GHM,0000716314,GRAHAM CORP,NYSE,0220d78c7e405f46f01896c186d442d6a1ce57017ecb63ca7c24df2fa094b34b,UNIQUE_CIK_NAME_CANDIDATE,87,adf4f5d6286c48ffe68d2c6575a70bd5c503316f11386500a11a97ace577b98f
LCII,0000763744,LCI INDUSTRIES,NYSE,001bc33522180d4812a4494c41d6b7d7fc60494e736a42f8a523e114b6cbe9ba,UNIQUE_CIK_NAME_CANDIDATE,225,b17645e362058ebb188fc38e0286da52dd15665524e1dcc885cb941e3a7c4362
YOU,0001856314,"Clear Secure, Inc.",NYSE,0361752ecf9af64020cf4408c12ccc8c8f7f22a15e78f57d5237e5378c635a55,UNIQUE_CIK_NAME_CANDIDATE,19,b230076c7515d44a9cf93c3c0504ddfe11812dbb2610dda50c78bc50c72c9707
SAMG,0001549966,Silvercrest Asset Management Group Inc.,Nasdaq,04affe829c083cbdcc962bf618ea2af66742411d08819da7771ae8174cfe0474,UNIQUE_CIK_NAME_CANDIDATE,59,b533e958139728abed8fa0fecc00f9e6f3747b36f9d42d63da04f5bc99ba954d
RPAY,0001720592,Repay Holdings Corp,Nasdaq,03870f289c8ca0b68caa1cdf9f96b15683763ad67eb91a2f7a8a2f2888c6552e,UNIQUE_CIK_NAME_CANDIDATE,56,b69abe4cd5a67e9d6257c11969bb2e2b855c83d978f27be2d87c2c954c3036ba
POWL,0000080420,POWELL INDUSTRIES INC,Nasdaq,020ad1e3a529be940ec3c9bc2b023fed23376f93fac36e6e452951a759449d32,UNIQUE_CIK_NAME_CANDIDATE,69,b7b83d52a73537c170644317ff7242a9e3c18e87bb112728b21e5f842fef3427
ATCH,0001963088,"AtlasClear Holdings, Inc.",NYSE,0222cbe1eeb7785c9a73a896233d88fc1f2a30bb0107c9816c340997c983edab,UNIQUE_CIK_NAME_CANDIDATE,10,baf79b7768034b4e83ffa90bd95ec7430521b0b76392696e695a4ef474d2a5dd
USLM,0000082020,UNITED STATES LIME & MINERALS INC,Nasdaq,0024308de7d956894ea00e1b1059f20efb8a70996fa54e451f3522eb89bd81a6,UNIQUE_CIK_NAME_CANDIDATE,66,c180999b939c0e8a00f39500b47147c6ca033ae4ecc4a370003fffb2427efced
FGNXP,0001591890,FG Nexus Inc.,Nasdaq,0537a90a1c81999762d5fe7fb1162953f08f2a8a1801b3b28e6bfba108ca0a0f,UNIQUE_CIK_NAME_CANDIDATE,91,c9fd0b8092a1dd7a8e5bcc76626f7e044a1ef6d4ad1daf60b14afac9e5670ae5
