ticker,episode_id,signal_date,target_label,feature_week,PEER_HIGH_EXIT_SHARE_DELTA_4W,PEER_ADVANCE_BREADTH_DELTA_4W
AMD,AMD-V61-003,2019-07-22,REENTRY_WORTHWHILE,2019-07-19,-0.03921568627450989,-0.13725490196078438
AMD,AMD-V61-004,2019-11-25,HOLD_WINNER,2019-11-22,-0.019607843137255054,0.039215686274509776
AMD,AMD-V61-006,2020-07-29,HOLD_WINNER,2020-07-24,-0.13725490196078427,0.27450980392156865
AMD,AMD-V61-007,2021-08-04,REENTRY_WORTHWHILE,2021-07-30,-0.07843137254901955,0.07843137254901966
AMD,AMD-V61-009,2024-03-13,REENTRY_WORTHWHILE,2024-03-08,0.0,-0.13725490196078438
AMD,AMD-V61-010,2025-11-04,REENTRY_WORTHWHILE,2025-10-31,0.0980392156862745,-0.0980392156862745
AME,AME-V61-001,2017-05-26,HOLD_WINNER,2017-05-26,0.048387096774193616,-0.016129032258064502
AME,AME-V61-002,2017-09-26,HOLD_WINNER,2017-09-22,-0.30645161290322587,0.629032258064516
AME,AME-V61-003,2019-04-11,HOLD_WINNER,2019-04-05,-0.25806451612903225,0.27419354838709675
AME,AME-V61-004,2019-07-12,REENTRY_WORTHWHILE,2019-07-12,-0.08064516129032251,0.17741935483870963
AME,AME-V61-005,2019-11-26,REENTRY_WORTHWHILE,2019-11-22,-0.06451612903225812,-0.016129032258064502
AME,AME-V61-006,2020-10-15,REENTRY_WORTHWHILE,2020-10-09,-0.14516129032258063,0.32258064516129037
AME,AME-V61-008,2021-04-19,REENTRY_WORTHWHILE,2021-04-16,-0.14516129032258063,0.11290322580645162
AME,AME-V61-009,2024-02-29,REENTRY_WORTHWHILE,2024-02-23,-0.06451612903225812,0.24193548387096775
AME,AME-V61-010,2026-01-05,HOLD_WINNER,2026-01-02,-0.032258064516129115,-0.09677419354838712
AMGN,AMGN-V61-001,2019-12-02,REENTRY_WORTHWHILE,2019-11-29,-0.34042553191489355,0.12765957446808507
AMGN,AMGN-V61-002,2022-10-31,REENTRY_WORTHWHILE,2022-10-28,-0.21276595744680848,0.723404255319149
AMGN,AMGN-V61-003,2024-01-04,REENTRY_WORTHWHILE,2023-12-29,-0.23404255319148937,0.1063829787234043
AMGN,AMGN-V61-004,2024-08-06,REENTRY_WORTHWHILE,2024-08-02,-0.2127659574468086,0.5531914893617021
