ticker,episode_id,signal_date,path_label,sale_date,sale_reference_open,outcome_end,no_action_terminal_wealth_per_sale_date_share,base_sale_execution_price,base_net_proceeds_per_sold_share,base_days_below_net_discount,base_constrained_pre_reentry_max_advance,base_theoretical_available,base_theoretical_reentry_date,base_theoretical_reentry_equivalent_price,base_theoretical_time_to_reentry_sessions,base_theoretical_sleeve_share_delta_rate,base_theoretical_total_position_terminal_uplift,base_constrained_available,base_constrained_reentry_date,base_constrained_reentry_equivalent_price,base_constrained_time_to_reentry_sessions,base_constrained_sleeve_share_delta_rate,base_constrained_total_position_terminal_uplift,stress_sale_execution_price,stress_net_proceeds_per_sold_share,stress_days_below_net_discount,stress_constrained_pre_reentry_max_advance,stress_theoretical_available,stress_theoretical_reentry_date,stress_theoretical_reentry_equivalent_price,stress_theoretical_time_to_reentry_sessions,stress_theoretical_sleeve_share_delta_rate,stress_theoretical_total_position_terminal_uplift,stress_constrained_available,stress_constrained_reentry_date,stress_constrained_reentry_equivalent_price,stress_constrained_time_to_reentry_sessions,stress_constrained_sleeve_share_delta_rate,stress_constrained_total_position_terminal_uplift
ABT,ABT-V61-005,2019-07-08,TEMPORARY_PULLBACK,2019-07-09,84.95999908,2020-01-06,86.33999634,84.91751908046001,84.83260156137955,18,0.04107812979981018,True,2019-10-10,79.08999634,66.0,0.07100145248525225,0.0035500726242626126,True,2019-10-10,79.08999634,66.0,0.07100145248525225,0.0035500726242626126,84.83255908138001,84.66289396321726,17,0.04107812979981018,True,2019-10-10,79.08999634,66.0,0.06672599598501971,0.0033362997992509857,True,2019-10-10,79.08999634,66.0,0.06672599598501971,0.0033362997992509857
ABT,ABT-V61-006,2020-10-15,CONTINUATION,2020-10-16,107.6999969,2021-04-19,124.5299988,107.64614690155001,107.53850075464847,0,,True,2020-10-30,104.7600021,10.0,0.02498452502862536,0.0012492262514312681,False,,,,0.0,0.0,107.53844690465,107.3233700108407,0,,True,2020-10-30,104.7600021,10.0,0.0208927689063505,0.0010446384453175251,False,,,,0.0,0.0
ABT,ABT-V61-007,2021-02-23,LARGE_PULLBACK,2021-02-24,120.8000031,2021-08-23,125.8399963,120.73960309845,120.61886349535155,30,0.02971851165457462,True,2021-06-02,105.7900009,68.0,0.13846436366929615,0.006923218183464808,True,2021-06-02,105.7900009,68.0,0.13846436366929615,0.006923218183464808,120.61880309535,120.37756548915931,23,0.02971851165457462,True,2021-06-02,105.7900009,68.0,0.13391959404957388,0.0066959797024786945,True,2021-06-02,105.7900009,68.0,0.13391959404957388,0.0066959797024786945
ACGL,ACGL-V61-001,2016-12-15,CONTINUATION,2016-12-16,28.7266674,2017-06-19,31.56666756,28.712304066300003,28.683591762233704,0,,True,2017-01-10,28.49333382,15.0,0.005169022974992998,0.00025845114874964995,False,,,,0.0,0.0,28.683577398900002,28.626210244102204,0,,True,2017-01-10,28.49333382,15.0,0.0011563706829362808,5.781853414681404e-05,False,,,,0.0,0.0
ACGL,ACGL-V61-002,2019-07-05,CONTINUATION,2019-07-08,37.86999893,2020-01-03,43.34999847,37.851063930535005,37.813212866604474,0,,True,2019-07-23,37.40000153,11.0,0.009533625802514933,0.0004766812901257467,False,,,,0.0,0.0,37.81319393160501,37.7375675437418,0,,True,2019-07-23,37.40000153,11.0,0.005503549939755548,0.0002751774969877774,False,,,,0.0,0.0
ACGL,ACGL-V61-003,2019-09-04,CONTINUATION,2019-09-05,41.0,2020-03-05,41.16999817,40.9795,40.9385205,0,,True,2019-09-16,40.33000183,7.0,0.013567627824240924,0.0006783813912120463,False,,,,0.0,0.0,40.938500000000005,40.856623000000006,0,,True,2019-09-16,40.33000183,7.0,0.009521448154969026,0.0004760724077484513,False,,,,0.0,0.0
ACGL,ACGL-V61-004,2020-01-03,STRUCTURAL_BREAK,2020-01-06,43.41999817,2020-07-06,28.5,43.398288170915,43.35488988274409,86,,True,2020-05-14,21.77000046,90.0,0.9885132027126644,0.04942566013563322,False,,,,0.0,0.0,43.354868172745,43.26815843639951,86,,True,2020-05-14,21.77000046,90.0,0.980575023283861,0.04902875116419306,False,,,,0.0,0.0
ACGL,ACGL-V61-005,2022-11-29,CONTINUATION,2022-11-30,58.68000031,2023-06-01,69.66999817,58.650660309845,58.59200964953516,0,,False,,,,0.0,0.0,False,,,,0.0,0.0,58.591980309535,58.47479634891593,0,,False,,,,0.0,0.0,False,,,,0.0,0.0
ACGL,ACGL-V61-006,2023-07-03,CONTINUATION,2023-07-05,73.37999725,2024-01-02,75.55000305,73.34330725137501,73.26996394412363,0,,False,,,,0.0,0.0,False,,,,0.0,0.0,73.26992725412501,73.12338739961676,0,,False,,,,0.0,0.0,False,,,,0.0,0.0
ACGL,ACGL-V61-007,2023-10-31,LARGE_PULLBACK,2023-11-01,87.25,2024-05-02,95.16999817,87.20637500000001,87.11916862500001,57,0.027851006418338153,True,2023-12-27,73.25,38.0,0.18755825484543065,0.009377912742271533,True,2023-12-27,73.25,38.0,0.18755825484543065,0.009377912742271533,87.11912500000001,86.94488675000001,56,0.027851006418338153,True,2023-12-27,73.25,38.0,0.1828175015548521,0.009140875077742605,True,2023-12-27,73.25,38.0,0.1828175015548521,0.009140875077742605
